 	Reasoning
Shri P.S. Patwalia and Dr. Abhishek Manu Singhvi, learned senior counsel appearing for Maruti Suzuki India Limited (for short, Maruti Udyog Limited) opposed the landowners claim for further enhancement in the amount of compensation by arguing that this would place unbearable burden on the company.	Arguments of Respondent
They pointed out that out of 771 acres land acquired for PhasesII and III of IMT, Manesar, 600 acres land was allotted to Maruti Udyog Limited at the rate of Rs.19,00,000 per acre in 2008 and if further enhancement is granted, the financial health of the company will be seriously impaired.	Arguments of Respondent
Learned senior counsel pointed out that vide letter dated 1.10.2012 HSIIDC has already made demand of Rs.500 crores in lieu of the enhanced compensation to the landowners and submitted that if further enhancement is granted, the management may have to take a decision to discontinue the plant at Manesar.	Arguments of Respondent
Shri Patwalia emphasized that if the manufacturing activities are closed by the company at Manesar, more than 20000 workers will be rendered jobless and the State will suffer revenue loss to the tune of Rs.8000 crores.	Arguments of Respondent
Both the learned senior counsel emphasized that the land was allotted to Maruti Udyog Limited without any development and argued that this should be taken as the criteria for determination of the compensation.	Arguments of Respondent
Shri Patwalia also made an additional submission that the judgments of the Reference Court and the High Court are liable to be set aside because Maruti Udyog Limited was not impleaded as a party despite the fact that it falls within the ambit of the expression person interested in Section 3(b) of the Act.	Arguments of Respondent
In support of this argument, reliance has been placed on the judgments of this Court in Himalayan Tiles and Marble (P) Limited v. Francis Victor Coutinlo (1980) 3 SCC 223 , U.P. Awas Vikas Parishad v. Giyan Devi (1995) 2 SCC 326 and DDA v. Bhola Nath Sharma (2011) 2 SCC 54.	Arguments of Respondent
Learned counsel for the landowners controverted the statement made by the learned senior counsel for Maruti Udyog Limited that the company was allotted the land in 2008.	None
They pointed out that as per conveyance deed dated 7.8.2008, 501.8 acres of land was allotted to Maruti Udyog Limited vide allotment letter dated 5.4.2004 which was followed by agreement dated 9.8.2004.	None
They further argued that if the object of the acquisition was to benefit Maruti Udyog Limited, the Government should have resorted to the provisions contained in Part VII of the Act and its failure to do so should be treated as sufficient for quashing the acquisition proceedings in their entirety.	None
In support of this argument, learned counsel relied upon the judgment of this Court in Royal Orchid Hotels Limited v. G. Jayarama Reddy (2011) 10 SCC 608.	None
Learned counsel also pointed out that as per Exhibit P11 which was filed in L.A.C. No.34/2008, 7875 square meters of land was allotted to M s. Krishna Maruti Limited (subsidiary of Maruti Udyog Limited) at the rate of Rs.73,38,795 per acre and argued that this by itself should be treated as sufficient for awarding higher compensation to the landowners.	None
We have considered the respective submissions and carefully scrutinized the records including the additional affidavits filed on behalf of the parties and their written arguments.	None
A careful scrutiny of the impugned judgment shows that while determining the amount of compensation payable to the landowners other than M s. Kohli Holdings Private Limited, the learned Single Judge did make a reference to Exhibit P38 (paragraph 30) but did not rely upon the same for the purpose of determination of the amount of compensation.	Reasoning
Instead of adopting a holistic approach and examining the documents produced before the Reference Court, the learned Single Judge simply referred to the judgment of this Court in Pran Sukhs case, granted a flat increase of 12 for the time gap of about 7 years and 3 months between the two acquisitions, i.e., 1994 and 2002 determined market value at the rate of Rs.37,40,000 per acre.	Reasoning
In the case of M s. Kohli Holdings Private Limited, the learned Single Judge squarely relied upon Exhibit P38 for the purpose of fixing market value of the acquired land, granted an increase at a flat rate of 15 per annum on the price of land specified in Exhibit P38 with an addition of 30 on account of special locational advantage and held that the particular landowner is entitled to compensation at the rate of Rs.2119 per square yard (Rs.1,02,55,960 per acre).	Reasoning
However, no discernible reason has been given for granting the benefit of annual increase at different rates to M s. Kohli Holdings Private Limited on the one hand and the remaining landowners on the other.	Reasoning
Therefore, we find merit in the argument of the learned counsel for the remaining landowners that their clients have been subjected to discrimination in the matter of grant of annual increase.	Reasoning
The other error committed by the learned Single Judge is that he granted annual increase at a flat rate of 12/15.	Reasoning
The question whether the benefit of annual increase in the pre determined price of a portion of the acquired land or a similar land should be cumulative was considered by this Court in Oil and Natural Gas Corporation Limited v. Rameshbhai Jivanbhai Patel (supra) and answered in the affirmative.	Issue
Paragraphs 12 to 15 and 18 and 19 of that judgment, which contain the rationale of granting cumulative increase are extracted below We have examined the facts of the three decisions relied on by the respondents.	None
They all related to acquisition of lands in urban or semi urban areas.	None
Ranjit Singh related to acquisition for development of Sector 41 of Chandigarh.	None
Ramanjulu related to acquisition of the third phase of an existing and established industrial estate in an urban area.	None
Bipin Kumar related to an acquisition of lands adjoining Badaun Delhi Highway in a semiurban area where building construction activity was going on all around the acquired lands.	None
Primarily, the increase in land prices depends on four factors situation of the land, nature of development in surrounding area, availability of land for development in the area, and the demand for land in the area.	None
In rural areas, unless there is any prospect of development in the vicinity, increase in prices would be slow, steady and gradual, without any sudden spurts or jumps.	None
On the other hand, in urban or semiurban areas, where the development is faster, where the demand for land is high and where there is construction activity all around, the escalation in market price is at a much higher rate, as compared to rural areas.	None
In some pockets in big cities, due to rapid development and high demand for land, the escalations in prices have touched even 30 to 50 or more per year, during the nineties.	None
On the other extreme, in remote rural areas where there was no chance of any development and hardly any buyers, the prices stagnated for years or rose marginally at a nominal rate of 1 or 2 per annum.	None
There is thus a significant difference in increases in market value of lands in urban semiurban areas and increases in market value of lands in the rural areas.	None
Therefore, if the increase in market value in urban semiurban areas is about 10 to 15 per annum, the corresponding increases in rural areas would at best be only around half of it, that is, about 5 to 7.5 per annum.	None
This rule of thumb refers to the general trend in the nineties, to be adopted in the absence of clear and specific evidence relating to increase in prices.	None
Where there are special reasons for applying a higher rate of increase, or any specific evidence relating to the actual increase in prices, then the increase to be applied would depend upon the same.	None
Normally, recourse is taken to the mode of determining the market value by providing appropriate escalation over the proved market value of nearby lands in previous years (as evidenced by sale transactions or acquisitions), where there is no evidence of any contemporaneous sale transactions or acquisitions of comparable lands in the neighbourhood.	None
The said method is reasonably safe where the relied on sale transactions acquisitions precede the subject acquisition by only a few years, that is, up to four to five years.	None
Beyond that it may be unsafe, even if it relates to a neighbouring land.	None
What may be a reliable standard if the gap is of only a few years, may become unsafe and unreliable standard where the gap is larger.	None
For example, for determining the market value of a land acquired in 1992, adopting the annual increase method with reference to a sale or acquisition in 1970 or 1980 may have many pitfalls.	None
This is because, over the course of years, the rate of annual increase may itself undergo drastic change apart from the likelihood of occurrence of varying periods of stagnation in prices or sudden spurts in prices affecting the very standard of increase.	None
The increase in market value is calculated with reference to the market value during the immediate preceding year.	None
When market value is sought to be ascertained with reference to a transaction which took place some years before the acquisition, the method adopted is to calculate the year to year increase.	None
As the percentage of increase is always with reference to the previous years market value, the appropriate method is to calculate the increase cumulatively and not applying a flat rate.	None
The difference between the two methods is shown by the following illustration (with reference to a 10 increase over a basic price of Rs 10 per square metre)	None
Year By flat rate increase method By cumulative increase method 1987 10.00 10.00 (Base year) 1988 10 1 11.00 10.00 1.00 11.00 1989 11 1 12.00 11.00 1.10 12.10 1990 12 1 13.00 12.10 1.21 13.31 1991 13 1 14.00 13.31 1.33 14.64 1992 14 1 15.00 14.64 1.46 16.10	None
We may also point out that application of a flat rate will lead to anomalous results.	None
This may be demonstrated with further reference to the above illustration.	None
In regard to the sale transaction in 1987, where the price was Rs 10 per square metre, if the annual increase to be applied is a flat rate of 10, the increase will be Rs 1 per annum during each of the five years 1988, 1989, 1990, 1991 and 1992.	None
If the price increase is to be determined with reference to sale transaction of the year 1989 when the price was Rs 12 per square metre, the flat rate increase will be Rs 1.20 per annum, for the years 1990, 1991 and 1992.	None
If the price increase is determined with reference to a sale transaction of the year 1990 when the price was Rs 13 per square metre, then the flat rate increase will be Rs 1.30 per annum for the years 1991 and 1992.	None
It will thus be seen that even if the percentage of increase is constant, the application of a flat rate leads to different amounts being added depending upon the market value in the base year.	None
On the other hand, the cumulative rate method will lead to consistency and more realistic results.	None
Whether the base price is Rs 10 or Rs 12.10 or Rs 13.31, the increase will lead to the same result.	None
The logical, practical and appropriate method is therefore to apply the increase cumulatively and not at a flat rate.	None
The same view was reiterated in Valliyammal v. Special Tahsildar (Land Acquisition) (2011) 8 SCC 91.	None
Of course, in that case annual increase of 10 was allowed to the landowners.	None
We also find merit in the argument of the learned counsel for the landowners that while fixing market value of the acquired land the learned Single Judge committed serious error by not considering an important piece of evidence, i.e., Exhibit PW9/A dated 23.11.1999 vide which HSIIDC had allotted land to M s. Honda Motorcycles and Scooters India (Private) Limited at the rate of Rs.1254.18 per square yard.	Reasoning
Although, this document was produced before the Reference Court but the same was not taken into consideration while determining the amount of compensation.	Reasoning
The same error has been repeated in the impugned judgment.	Reasoning
If this document is taken into consideration, then market value of the acquired land would come to Rs.60,69,360 per acre.	Reasoning
By making deduction of 50 towards development cost and granting annual increase of 12/15 (cumulative), market value of the land will be much higher than Rs.37,40,000 per acre.	Reasoning
In view of the above conclusions, we do not consider it necessary to deal with the other points argued by learned counsel for the parties intervenors and feel that ends of justice will be served by setting aside the impugned judgment and remitting the matters to the High Court for fresh disposal of the appeals and cross objections filed by the parties subject to the rider that the State Government HSIIDC shall pay the balance of Rs.37,40,000 to the landowners along with other statutory benefits.	Reasoning
In the result, the appeals are allowed, the impugned judgment is set aside and the matter is remitted to the High Court for fresh disposal of the appeals filed by the parties under Section 54 of the Act as also the cross objections.	Decision
The parties shall be free to urge all points in support of their respective cause and the High Court shall decide the matter uninfluenced by the observations contained in this judgment.	Decision
Maruti Udyog Limited shall be free to file an appropriate application before the High Court for its impleadment or grant of leave to act as intervenor in the appeals filed by the parties.	Decision
If such an application is filed, the same shall be decided on its own merits.	Decision
The State Government HSIIDC shall pay the balance of compensation determined by the High Court, i.e., Rs.37,40,000  Rs.28,15,356 Rs.9,24,644 per acre to the landowners and or their legal representatives along with all statutory benefits within a period of four months from today.	Decision
The payment shall be made to the landowners and or their legal representatives by following the procedure laid down in the interim orders passed by this Court.	Decision
