 	Arguments of Respondent
People belonging to this segment do not want to understand why a person is made to enter manhole without safety gears and proper equipments.	None
They look the other way when the body of a worker who dies in the manhole is taken out with the help of ropes and cranes.	None
In this scenario, the Courts are not only entitled but are under constitutional obligation to take cognizance of the issues relating to the lives of the people who are forced to undertake jobs which are hazardous and dangerous to life.	None
It will be a tragic and sad day when the superior Courts will shut their doors for those, who without any motive for personal gain or other extraneous reasons, come forward to seek protection and enforcement of the legal and constitutional rights of the poor, downtrodden and disadvantaged sections of the society.	None
If the system can devote hours, days and months to hear the elitist class of eminent advocates who are engaged by those who are accused of evading payment of taxes and duties or otherwise causing loss to public exchequer or who are accused of committing heinous crimes like murder, rape, dowry death, kidnapping, abduction and even acts of terrorism or who come forward with the grievance that their fundamental right to equality has been violated by the State and or its agencies instrumentalities in contractual matters, some time can always be devoted for hearing the grievance of vast majority of silent sufferers whose cause is espoused by bodies like respondent No.1.	None
Re Question No.2 There have been instances in which this Court has exercised its power under Article 32 read with Article 142 and issued guidelines and directions to fill the vacuum.	None
Vishaka v. State of Rajasthan (1997) 6 SCC 241 , Vineet Narain v. Union of India (1998) 1 SCC 226 and Union of India v. Association for Democratic Reforms (2002) 5 SCC 294 are illuminating examples of the exercise of this Courts power under Article 32 for ensuring justice to the common man and effective exercise of fundamental rights by the citizens.	None
In Vishaka v. State of Rajasthan (supra), the Court entertained the petition filed by certain social activists and NGOs for effective protection of fundamental rights of working women under Articles 14, 19 and 21.	None
In paragraph 11 of the judgment, the Court made a note of its obligation under Article 32 of the Constitution in the following words The obligation of this Court under Article 32 of the Constitution for the enforcement of these fundamental rights in the absence of legislation must be viewed along with the role of judiciary envisaged in the Beijing Statement of Principles of the Independence of the Judiciary in the LAWASIA region.	None
These principles were accepted by the Chief Justices of Asia and the Pacific at Beijing in 1995 as those representing the minimum standards necessary to be observed in order to maintain the independence and effective functioning of the judiciary.	None
The objectives of the judiciary mentioned in the Beijing Statement areObjectives of the Judiciary10.	None
The objectives and functions of the Judiciary include the following(a) to ensure that all persons are able to live securely under the rule of law(b) to promote, within the proper limits of the judicial function, the observance and the attainment of human rights and(c) to administer the law impartially among persons and between persons and the State.	None
In Vineet Narain v. Union of India (supra), the Court observed The powers conferred on this Court by the Constitution are ample to remedy this defect and to ensure enforcement of the concept of equality.	None
There are ample powers conferred by Article 32 read with Article 142 to make orders which have the effect of law by virtue of Article 141 and there is mandate to all authorities to act in aid of the orders of this Court as provided in Article 144 of the Constitution.	None
In a catena of decisions of this Court, this power has been recognised and exercised, if need be, by issuing necessary directions to fill the vacuum till such time the legislature steps in to cover the gap or the executive discharges its role.	None
(emphasis supplied)	None
In Union of India v. Association for Democratic Reforms (supra), this Court was called upon to examine the correctness of the directions given by the Division Bench of Delhi High Court for implementation of the recommendations made by the Law Commission in its 170th Report.	None
While modifying the directions given by the High Court, the Court observed Finally, in our view this Court would have ample power to direct the Commission to fill the void, in the absence of suitable legislation covering the field and the voters are required to be well informed and educated about contesting candidates so that they can elect a proper candidate by their own assessment.	None
It is the duty of the executive to fill the vacuum by executive orders because its field is coterminous with that of the legislature, and where there is inaction by the executive, for whatever reason, the judiciary must step in, in exercise of its constitutional obligations to provide a solution till such time the legislature acts to perform its role by enacting proper legislation to cover the field.	None
The adverse impact of lack of probity in public life leading to a high degree of corruption is manifold.	None
Therefore, if the candidate is directed to declare his her spouses and dependants assets immovable, movable and valuable articles  it would have its own effect.	None
This Court in Vishaka v. State of Rajasthan dealt with the incident of sexual harassment of a woman at work place which resulted in violation of fundamental right of gender equality and the right to life and liberty and laid down that in the absence of legislation, it must be viewed along with the role of the judiciary envisaged in the Beijing Statement of Principles of Independence of Judiciary in the LAWASIA region.	None
The decision has laid down the guidelines and prescribed the norms to be strictly observed in all work places until suitable legislation is enacted to occupy the field.	None
In the present case also, there is no legislation or rules providing for giving necessary information to the voters.	None
As stated earlier, this case was relied upon in Vineet Narain case where the Court has issued necessary guidelines to CBI and the Central Vigilance Commission (CVC) as there was no legislation covering the said field to ensure proper implementation of the rule of law.	None
In view of the principles laid down in the aforesaid judgments, we do not have any slightest hesitation to reject the argument that by issuing the directions, the High Court has assumed the legislative power of the State.	Reasoning
What the High Court has done is nothing except to ensure that those employed engaged for doing work which is inherently hazardous and dangerous to life are provided with life saving equipments and the employer takes care of their safety and health.	Reasoning
The State and its agencies instrumentalities cannot absolve themselves of the responsibility to put in place effective mechanism for ensuring safety of the workers employed for maintaining and cleaning the sewage system.	Reasoning
The human beings who are employed for doing the work in the sewers cannot be treated as mechanical robots, who may not be affected by poisonous gases in the manholes.	Reasoning
The State and its agencies instrumentalities or the contractors engaged by them are under a constitutional obligation to ensure the safety of the persons who are asked to undertake hazardous jobs.	Reasoning
The argument of choice and contractual freedom is not available to the appellant and the like for contesting the issues raised by respondent No.1.	None
Re Question No.3 We shall now consider whether the High Court was justified in issuing interim directions for payment of compensation to the families of the victims.	None
At the outset, we deprecate the attitude of a public authority like the appellant, who has used the judicial process for frustrating the effort made by respondent No.1 for getting compensation to the workers, who died due to negligence of the contractor to whom the work of maintaining sewage system was outsourced.	None
We also express our dismay that the High Court has thought it proper to direct payment of a paltry amount of Rs.1.5 to 2.25 lakhs to the families of the victims.	None
Rudul Sah v. State of Bihar (1983) 4 SCC 141 is the lead case in which the Court exercised its power under Article 32 for compensating a person who was unlawfully detained for 14 years.	None
Paragraphs 9 and 10 of the judgment, which contain the reasons for making a departure from the old and antiquated rule that a person, who has suffered due to the negligence of a public authority, can claim damages by filing suit, are extracted below It is true that Article 32 cannot be used as a substitute for the enforcement of rights and obligations which can be enforced efficaciously through the ordinary processes of courts, civil and criminal.	None
A money claim has therefore to be agitated in and adjudicated upon in a suit instituted in a Court of lowest grade competent to try it.	None
But the important question for our consideration is whether in the exercise of its jurisdiction under Article 32, this Court can pass an order for the payment of money if such an order is in the nature of compensation consequential upon the deprivation of a fundamental right 10.	None
We cannot resist this argument.	None
We see no effective answer to it save the stale and sterile objection that the petitioner may, if so advised, file a suit to recover damages from the State Government.	None
Happily, the States counsel has not raised that objection.	None
The petitioner could have been relegated to the ordinary remedy of a suit if his claim to compensation was factually controversial, in the sense that a civil court may or may not have upheld his claim.	None
But we have no doubt that if the petitioner files a suit to recover damages for his illegal detention, a decree for damages would have to be passed in that suit, though it is not possible to predicate, in the absence of evidence, the precise amount which would be decreed in his favour.	None
In these circumstances, the refusal of this Court to pass an order of compensation in favour of the petitioner will be doing mere lipservice to his fundamental right to liberty which the State Government has so grossly violated.	None
Article 21 which guarantees the right to life and liberty will be denuded of its significant content if the power of this Court were limited to passing orders of release from illegal detention.	None
One of the telling ways in which the violation of that right can reasonably be prevented and due compliance with the mandate of Article 21 secured, is to mulct its violators in the payment of monetary compensation.	None
Administrative sclerosis leading to flagrant infringements of fundamental rights cannot be corrected by any other method open to the judiciary to adopt.	None
The right to compensation is some palliative for the unlawful acts of instrumentalities which act in the name of public interest and which present for their protection the powers of the State as a shield.	None
If civilisation is not to perish in this country as it has perished in some others too well known to suffer mention, it is necessary to educate ourselves into accepting that, respect for the rights of individuals is the true bastion of democracy.	None
Therefore, the State must repair the damage done by its officers to the petitioners rights.	None
It may have recourse against those officers.	None
In Nilabati Behera v. State of Orissa (1993) 2 SCC 746 , this Court awarded compensation to the mother of a young man who was beaten to death in police custody.	None
The Court held that its powers to enforce fundamental rights carries with it an obligation to forge new tools for doing justice.	None
In Paschim Banga Khet Mazdoor Samity v. State of W.B. (1996) 4 SCC 37 , this Court examined the issue whether a victim of apathy of the staff of government hospital is entitled to compensation and answered the same in the following words The Constitution envisages the establishment of a welfare State at the federal level as well as at the State level.	None
In a welfare State the primary duty of the Government is to secure the welfare of the people.	None
Providing adequate medical facilities for the people is an essential part of the obligations undertaken by the Government in a welfare State.	None
The Government discharges this obligation by running hospitals and health centres which provide medical care to the person seeking to avail of those facilities.	None
Article 21 imposes an obligation on the State to safeguard the right to life of every person.	None
Preservation of human life is thus of paramount importance.	None
The government hospitals run by the State and the medical officers employed therein are dutybound to extend medical assistance for preserving human life.	None
Failure on the part of a government hospital to provide timely medical treatment to a person in need of such treatment results in violation of his right to life guaranteed under Article 21.	None
In the present case there was breach of the said right of Hakim Seikh guaranteed under Article 21 when he was denied treatment at the various government hospitals which were approached even though his condition was very serious at that time and he was in need of immediate medical attention.	None
Since the said denial of the right of Hakim Seikh guaranteed under Article 21 was by officers of the State, in hospitals run by the State, the State cannot avoid its responsibility for such denial of the constitutional right of Hakim Seikh.	None
In respect of deprivation of the constitutional rights guaranteed under Part III of the Constitution the position is well settled that adequate compensation can be awarded by the court for such violation by way of redress in proceedings under Articles 32 and 226 of the Constitution.	None
(See Rudul Sah v. State of Bihar Nilabati Behera v. State of Orissa Consumer Education and Research Centre v. Union of India.)	None
Hakim Seikh should, therefore, be suitably compensated for the breach of his right guaranteed under Article 21 of the Constitution.	None
Having regard to the facts and circumstances of the case, we fix the amount of such compensation at Rs 25,000.	None
A sum of Rs 15,000 was directed to be paid to Hakim Seikh as interim compensation under the orders of this Court dated 2241994.	None
The balance amount should be paid by Respondent 1 to Hakim Seikh within one month.	None
It is no doubt true that financial resources are needed for providing these facilities.	None
But at the same time it cannot be ignored that it is the constitutional obligation of the State to provide adequate medical services to the people.	None
Whatever is necessary for this purpose has to be done.	None
In the context of the constitutional obligation to provide free legal aid to a poor accused this Court has held that the State cannot avoid its constitutional obligation in that regard on account of financial constraints.	None
See Khatri (II) v. State of Bihar, SCC at p. 631.	None
The said observations would apply with equal, if not greater, force in the matter of discharge of constitutional obligation of the State to provide medical aid to preserve human life.	None
In the matter of allocation of funds for medical services the said constitutional obligation of the State has to be kept in view.	None
It is necessary that a timebound plan for providing these services should be chalked out keeping in view the recommendations of the Committee as well as the requirements for ensuring availability of proper medical services in this regard as indicated by us and steps should be taken to implement the same.	None
The State of West Bengal alone is a party to these proceedings.	None
Other States, though not parties, should also take necessary steps in the light of the recommendations made by the Committee, the directions contained in the memorandum of the Government of West Bengal dated 2281995 and the further directions given herein.	None
In Chairman, Railway Board v. Chandrima Das (2000) 2 SCC 465 , this Court considered the question whether the High Court could entertain the petition filed by the respondent by way of Public Interest Litigation and award compensation of Rs.10 lakhs to Hanuffa Khatoon, a national of Bangladesh, who was sexually assaulted by the employees of Eastern Railway.	None
While rejecting the argument of the appellant that the victim of rape could have availed remedy by filing suit in a Civil Court, the twoJudge 38 Bench referred to the distinction made between public law and private law in Common Cause, A Registered Society v. Union of India (1999) 6 SCC 667 and other cases in which compensation was awarded for violation of different rights and observed Having regard to what has been stated above, the contention that Smt Hanuffa Khatoon should have approached the civil court for damages and the matter should not have been considered in a petition under Article 226 of the Constitution, cannot be accepted.	None
Where public functionaries are involved and the matter relates to the violation of fundamental rights or the enforcement of public duties, the remedy would still be available under the public law notwithstanding that a suit could be filed for damages under private law.	None
The Court then referred to the fundamental rights guaranteed under Articles 20 and 21 of the Constitution and proceeded to observe The word LIFE has also been used prominently in the Universal Declaration of Human Rights, 1948.	None
(See Article 3 quoted above.)	None
The fundamental rights under the Constitution are almost in consonance with the rights contained in the Universal Declaration of Human Rights as also the Declaration and the Covenants of Civil and Political Rights and the Covenants of Economic, Social and Cultural Rights, to which India is a party having ratified them, as set out by this Court in Kubic Darusz v. Union of India.	None
That being so, since LIFE is also recognised as a basic human right in the Universal Declaration of Human Rights, 1948, it has to have the same meaning and interpretation as has been placed on that word by this Court in its various decisions relating to Article 21 of the Constitution.	None
The meaning of the word life cannot be narrowed down.	None
According to the tenor of the language used in Article 21, it will be available not only to every citizen of this country, but also to a person who may not be a citizen of the country.	None
Let us now consider the meaning of the word LIFE interpreted by this Court from time to time.	None
In Kharak Singh v. State of U.P. it was held that the term life indicates something more than mere animal existence.	None
(See also State of Maharashtra v. Chandrabhan Tale.)	None
The inhibitions contained in Article 21 against its deprivation extend even to those faculties by which life is enjoyed.	None
In Bandhua Mukti Morcha v. Union of India it was held that the right to life under Article 21 means the right to live with dignity, free from exploitation.	None
(See also Maneka Gandhi v. Union of India and Board of Trustees of the Port of Bombay v. Dilipkumar Raghavendranath Nadkarni.)	None
On this principle, even those who are not citizens of this country and come here merely as tourists or in any other capacity will be entitled to the protection of their lives in accordance with the constitutional provisions.	None
They also have a right to life in this country.	None
Thus, they also have the right to live, so long as they are here, with human dignity.	None
Just as the State is under an obligation to protect the life of every citizen in this country, so also the State is under an obligation to protect the life of the persons who are not citizens.	None
The question whether the Central Government can be held vicariously liable for the offence of rape committed by the employees of the Railways was answered in negative by relying upon the judgments in State of Rajasthan v. Vidhyawati AIR 1962 SC 933 , State of Gujarat v. Memon Mahomed Haji Hasam AIR 1967 SC 1885 , Basavva Kom Dyamangouda Patil v. State of Mysore (1977) 4 SCC 358 , N. Nagendra Rao and Company v. State of A.P. (1994) 6 SCC 205 and State of Maharasthra v.	None
Kanchanmala	None
Vijaysing Shirke (1995) 5 SCC 659.	None
In M.S. Grewal v. Deep Chand Sood (2001) 8 SCC 151 , this Court examined the question whether the High Court of Himachal Pradesh was justified in entertaining the writ petition filed by the parents of 14 children, who died due to drowning in a river when they were on picnic organised by the school authorities.	None
While rejecting the objection to the maintainability of the writ petition, the Court referred to Rudul Sah v. State of Bihar (supra), Nilabati Behera v. State of Orissa (supra) and D.K. Basu v. State of W.B. (1997) 1 SCC 416 and observed Next is the issue maintainability of the writ petition before the High Court under Article 226 of the Constitution.	None
The appellants though initially very strongly contended that while the negligence aspect has been dealt with under penal law already, the claim for compensation cannot but be left to be adjudicated by the civil law and thus the civil courts jurisdiction ought to have been invoked rather than by way of a writ petition under Article 226 of the Constitution.	None
This plea of nonmaintainability of the writ petition though advanced at the initial stage of the submissions but subsequently the same was not pressed and as such we need not detain ourselves on that score, excepting however recording that the law courts exist for the society and they have an obligation to meet the social aspirations of citizens since law courts must also respond to the needs of the people.	None
In this context, reference may be made to two decisions of this Court the first in line is the decision in Nilabati Behera v. State of Orissa wherein this Court relying upon the decision in Rudul Sah (Rudul Sah v. State of Bihar) decried the illegality and impropriety in awarding compensation in a proceeding in which the courts power under Articles 32 and 226 of the Constitution stands invoked and thus observed that it was a clear case for award of compensation to the petitioner for custodial death of her son.	None
It is undoubtedly true, however, that in the present context, there is no infringement of the States obligation, unless of course the State can also be termed to be a joint tortfeasor, but since the case of the parties stands restricted and without imparting any liability on the State, we do not deem it expedient to deal with the issue any further except noting the two decisions of this Court as above and without expression of any opinion in regard thereto.	None
On the question of quantum of damages, the Court made the following observations Be it placed on record that in assessing damages, all relevant materials should and ought always to be placed before the court so as to enable the court to come to a conclusion in the matter of affectation of pecuniary benefit by reason of the unfortunate death.	None
Though mathematical nicety is not required but a rough and ready estimate can be had from the records claiming damages since award of damages cannot be had without any material evidence whereas one party is to be compensated, the other party is to compensate and as such there must always be some materials available therefore.	None
It is not a fanciful item of compensation but it is on legitimate expectation of loss of pecuniary benefits.	None
In Grand Trunk Rly. Co. of Canada v. Jennings this wellaccepted principle stands reiterated as below In assessing the damages, all circumstances which may be legitimately pleaded in diminution of the damages must be considered.	None
It is not a mere guesswork neither is it the resultant effect of a compassionate attitude.	None
As noticed above, a large number of decisions were placed before this Court as regards the quantum of compensation varying between 50,000 to one lakh in regard to the unfortunate deaths of the young children.	None
We do deem it fit to record that while judicial precedents undoubtedly have some relevance as regards the principles of law, but the quantum of assessment stands dependent on the fact situation of the matter before the court, than judicial precedents.	None
As regards the quantum, no decision as such can be taken to be of binding precedent as such, since each case has to be dealt with on its own peculiar facts and thus compensation is also to be assessed on the basis thereof, though however, the same can act as a guide placement in the society, financial status differs from person to person and as such assessment would also differ.	None
The whole issue is to be judged on the basis of the fact situation of the matter concerned though however, not on mathematical nicety.	None
Reference also deserves to be made to MCD v. Assn. of Victims of Uphaar Tragedy and others (2005) 9 SCC 586 whereby this Court entertained the appeal filed against the order passed by the Delhi High Court for payment of compensation to the families of those who died in Uphaar tragedy and directed the appellants to deposit Rs.3,01,40,000/ with a further direction that 50 of the amount shall be available for distribution to the claimants.	None
In view of the law laid down in the aforementioned judgments, the appellants challenge to the interim directions given by the High Court for payment of compensation to the families of the workers deserves to be rejected.	None
However, that is not the end of the matter.	Reasoning
We feel that the High Court should have taken cue from the judgment in Chairman, Railway Board v. Chandrima Das (supra) and awarded compensation which could be treated as reasonable.	Reasoning
Though, it is not possible to draw any parallel between the trauma suffered by a victim of rape and the family of a person who dies due to the negligence of others, but the High Court could have taken note of the fact that this Court had approved the award of compensation of Rs.10 lacs in 1998 to the victim of rape as also increase in the cost of living and done well to award compensation of atleast Rs.5 lacs to the families of those who died due to negligence of the public authority like the appellant who did not take effective measures for ensuring safety of the sewage workers.	Reasoning
We may have remitted the case to the High Court for passing appropriate order for payment of enhanced compensation but keeping in view the fact that further delay would add to the miseries of the family of the victim, we deem it proper to exercise power under Article 142 of the Constitution and direct the appellant to pay a sum of Rs.3.29 lakhs to the family of the victim through Delhi High Court State Legal Services Committee.	Reasoning
This would be in addition to Rs.1.71 lakhs already paid by the contractor.	Reasoning
In the result, the appeal is dismissed subject to the aforesaid direction regarding the amount of compensation to be paid by the appellant.	Decision
It is needless to say that the appellant shall be entitled to recover the additional amount from the contractor.	Decision
Respondent No.1 shall also be entitled to file appropriate application before the High Court for payment of enhanced compensation to the families of other victims and we have no doubt that the High Court will entertain such request.32.	Decision
With a view to obviate further delay in implementation of the directions contained in the first order passed by the High Court on 20.8.2008, we direct the appellant to ensure compliance of clauses (a), (b), (d), (e), (f), (g), (i), (k), (m) and (n) within a period of two months from today and submit a report to the High Court.	Decision
The appellant shall also ensure that these directions are complied with by the contractors engaged by it for execution of work relating to laying and maintenance of sewer system within the area of its jurisdiction.	Decision
A report to this effect be also submitted to the High Court within two months.	Decision
Additionally, we direct that in future the appellant shall ensure that the directions already given by the High Court and which may be given hereafter are made part of all agreements which may be executed with contractors private enterprises for doing work relating to sewage system.33.	Decision
The directions contained in the preceding paragraph do not imply that the appellant and other agencies instrumentalities of the State like New Delhi Municipal Council, Municipal Corporation of Delhi, Delhi State Industrial Development Corporation are not required to comply with the directions given by the High Court.	Decision
Rather, they too shall have to submit similar reports.34.	Decision
As regards the other clauses of paragraph 9 of order dated 20.8.2008, the High Court may give necessary directions so that they are complied with and implemented by the State and its agencies instrumentalities without any delay.35.	Decision
The case be listed before the Division Bench of the High Court in the third week of September, 2011 for further orders.	Decision
