 	Facts
It was argued on behalf of the Appellant that Clause 24 should be construed as an arbitration clause because the decision of the Managing Director was binding on both the parties.	None
The two Judge Bench analysed Clauses 23 and 24 of the agreement, referred to the judgment in K.K. Modi v. K.N. Modi (supra), State of U.P. v. Tipper Chand (supra), State of Orissa v. Damodar Das (supra) and observed In the present case, the Managing Director is more in the category of an expert who will decide claims, rights, or matters in any way pertaining to the contract.	None
The intention appears to be more to avoid disputes than to decide formulated disputes in a quasijudicial manner.	None
In para 18.067 of Vol. 2 of Hudson on Building and Engineering Contracts.	None
Illustration (8) deals with the case where, by the terms of a contract, it was provided that the engineer shall be the exclusive judge upon all matters relating to the construction, incidents, and the consequences of these presents, and of the tender, specifications, schedule and drawings of the contract, and in regard to the execution of the works or otherwise arising out of or in connection with the contract, and also as regards all matters of account, including the final balance payable to the contractor, and the certificate of the engineer for the time being, given under his hand, shall be binding and conclusive on both parties.	None
It was held that this clause was not an arbitration clause and that the duties of the Engineer were administrative and not judicial.	None
Since Clause 24 does not contemplate any arbitration, the application of the Appellant under Section 8 of the Arbitration Act, 1940 was misconceived.	None
The appeal is, therefore, dismissed though for reasons somewhat different from the reasons given by the High Court, there will, however, be no order as to costs.	None
In Civil Appeal No. 3680/2005  Vishnu (dead) by L.Rs.	None
v. State of Maharashtra and Ors.	None
decided on 4.10.2013, this Court considered the question whether Clause 30 of B1 Agreements entered into between the Government of Maharashtra and the Appellant is in the nature of an arbitration clause.	None
That clause was substantially similar to the clauses being considered in these cases.	None
After noticing precedents on the subject, the Court observed In terms of Clause 29 of B1 Agreement, the Superintending Engineer of the Circle was invested with the authority to approve all works to be executed under the contract.	None
In other words, the Superintending Engineer was to supervise execution of all works.	None
The power conferred upon him to take decision on the matters enumerated in Clause 30 did not involve adjudication of any dispute or lis between the State Government and the contractor.	None
It would have been extremely anomalous to appoint him as Arbitrator to decide any dispute or difference between the parties and pass an award.	None
How could he pass an award on any of the issues already decided by him under Clause 30?	None
Suppose, he was to decline approval to the designs, drawings etc. or was to object to the quality of materials etc.	None
and the contractor had a grievance against his decision, the task of deciding the dispute could not have been assigned to the Superintending Engineer.	None
He could not be expected to make adjudication with an unbiased mind.	None
Even if he may not be actually biased, the contractor will always have a lurking apprehension that his decision will not be free from bias.	None
Therefore, there is an inherent danger in treating the Superintending Engineer as an Arbitrator.	None
This facet of the problem was highlighted in the judgment of the two Judge Bench in Bihar State Mineral Development Corporation and Anr.	None
v. Encon Builders (I) (P) Limited (2003) 7 SCC 418.	None
In that case, the agreement entered into between the parties contained a clause that any dispute arising out of the agreement shall be referred to the Managing Director of the Corporation and his decision shall be final and binding on both the parties.	None
After noticing several precedents, the two Judge Bench observed There cannot be any doubt whatsoever that an arbitration agreement must contain the broad consensus between the parties that the disputes and differences should be referred to a domestic tribunal.	None
The said domestic tribunal must be an impartial one.	None
It is a wellsettled principle of law that a person cannot be a judge of his own cause.	None
It is further well settled that justice should not only be done but manifestly seen to be done.	None
Actual bias would lead to an automatic disqualification where the decisionmaker is shown to have an interest in the outcome of the case.	None
Actual bias denotes an arbitrator who allows a decision to be influenced by partiality or prejudice and thereby deprives the litigant of the fundamental right to a fair trial by an impartial tribunal.	None
As the acts of bias on the part of the second Appellant arose during execution of the agreement, the question as to whether the Respondent herein entered into the agreement with his eyes wide open or not takes a back seat.	None
An order which lacks inherent jurisdiction would be a nullity and, thus, the procedural law of waiver or estoppel would have no application in such a situation.	None
It will bear repetition to state that the action of the second Appellant itself was in question and, thus, indisputably, he could not have adjudicated thereupon in terms of the principle that nobody can be a judge of his own cause.	None
To the aforesaid proposition, we may add that in terms of Clause 29(a) and similar other clauses, any dispute or difference irrespective of its nomenclature in matters relating to specifications, designs, drawings, quality of workmanship or material used or any question relating to claim, right in any way arising out of or relating to the contract designs, drawings etc. or failure on the contractors part to execute the work, whether arising during the progress of the work or after its completion, termination or abandonment has to be first referred to the Chief Engineer or the Designated Officer of the Department.	Reasoning
The Chief Engineer or the Designated Officer is not an independent authority or person, who has no connection or control over the work.	Reasoning
As a matter of fact, he is having over all supervision and charge of the execution of the work.	Reasoning
He is not required to hear the parties or to take evidence, oral or documentary.	Reasoning
He is not invested with the power to adjudicate upon the rights of the parties to the dispute or difference and his decision is subject to the right of the aggrieved party to seek relief in a Court of Law.	Reasoning
The decision of the Chief Engineer or the Designated Officer is treated as binding on the contractor subject to his right to avail remedy before an appropriate Court.	Reasoning
The use of the expression in the first place unmistakably shows that nonadjudicatory decision of the Chief Engineer is subject to the right of the aggrieved party to seek remedy.	Reasoning
Therefore, Clause 29 which is subject matter of consideration in most of the appeals and similar clauses cannot be treated as an Arbitration Clause.	Reasoning
As a corollary to the above, we hold that the judgment of the Designated Judge in Mysore Construction Co. v. Karnataka Power Corporation Ltd. (supra) lays down the correct law.	Reasoning
Before parting with the case, we may notice the judgments relied upon by the Learned Counsel for the contractors and find out whether the proposition laid down therein supports their argument that Clause 29 and other similar clauses in the agreements entered into between the parties should be treated as arbitration clause.	Issue
The facts of Mallikarjun v. Gulbarga University case (2004) 1 SCC 372 were that the RespondentUniversity had accepted the tender submitted by the Appellant for construction of an indoor stadium.	None
In pursuance of the work order issued by the competent authority, the Appellant completed the construction.	None
Thereafter, he invoked the arbitration clause for resolution of the disputes which arose from the execution of the project.	None
Superintending Engineer, PWD, Gulbarga Circle was entrusted with the task of deciding the disputes.	None
The parties filed their respective claims before the Superintending Engineer.	None
He considered the same and passed an award.	None
The Appellant filed execution petition in the Court of Principal Civil Judge (Senior Division), Gulbarga.	None
The Respondent filed an objection petition under Section 47 of the Code of Civil Procedure.	None
The Executing Court rejected the objection.	None
The University challenged the decision of the Executing Court and pleaded that the agreement on the basis of which the dispute was referred to the Superintending Engineer was not an arbitration agreement and, as such, award made by him cannot be treated as one made under the 1940 Act.	None
The High Court accepted the plea of the University and set aside the order of the trial Court.	None
Clause 30 of the agreement which came up for interpretation by this Court was as under The decision of the Superintending Engineer of Gulbarga Circle for the time being shall be final, conclusive and binding on all parties to the contract upon all questions relating to the meaning of the specifications, designs, drawings and instructions hereinbefore mentioned and as to the quality of workmanship or material used on the work, or as to any other question, claim, right, matter, or thing whatsoever, in any way arising out of or relating to the contract designs, drawings, specifications, estimates, instructions, orders or those conditions, or otherwise concerning the works or the execution or failure to execute the same, whether arising during the progress of the work, or after the completion or abandonment thereof in case of dispute arising between the contractor and Gulbarga University.	None
After analyzing the aforesaid clause and making a reference to essential elements of arbitration agreement enumerated in Bihar State Mineral Development Corporation v. Encon Builders (I) (P) Limited (supra), a three Judge Bench held Applying the aforesaid principle to the present case, Clause 30 requires the Superintending Engineer, Gulbarga Circle, Gulbarga, to give his decision on any dispute that may arise out of the contract.	None
Further, we also find that the agreement postulates present or future differences in connection with some contemplated affairs inasmuch as there also was an agreement between the parties to settle such difference by a private tribunal, namely, the Superintending Engineer, Gulbarga Circle, Gulbarga.	None
It was also agreed between the parties that they would be bound by the decision of the Tribunal.	None
The parties were also ad idem.	None
In the aforesaid view of the matter, it must be held that the agreement did contain an arbitration clause.	None
The Bench distinguished the judgment in Bharat Bhushan Bansals case by making the following observations A bare comparison of Clause 30 of the contract agreement involved in the present matter and clauses 23 and 24 involved in Bharat Bhushan Bansal case would show that they are not identical.	None
Whereas Clause 30 of the agreement in question provides for resolution of the dispute arising out of the contract by persons named therein in terms of Clause 24, there was no question of decision by a named person in the dispute raised by the parties to the agreement.	None
The matters which are specified under clauses 23 and 24 in Bharat Bhushan Bansal case were necessarily not required to arise out of the contract, but merely claims arising during performance of the contract.	None
Clause 30 of the agreement in the present case did provide for resolution of the dispute arising out of the contract by the Superintending Engineer, Gulbarga Circle, Gulbarga.	None
For that reason, the case relied upon by the Learned Counsel for the Respondent is distinguishable.	None
Once Clause 30 is constituted to be a valid arbitration agreement, it would necessarily follow that the decision of the arbitrator named therein would be rendered only upon allowing the parties to adduce evidence in support of their respective claims and counterclaims as also upon hearing the parties to the dispute.	None
For the purpose of constituting the valid arbitration agreement, it is not necessary that the conditions as regards adduction of evidence by the parties or giving an opportunity of hearing to them must specifically be mentioned therein.	None
Such conditions, it is trite, are implicit in the decisionmaking process in the arbitration proceedings.	None
Compliance with the principles of natural justice inheres in an arbitration process.	None
They, irrespective of the fact as to whether recorded specifically in the arbitration agreement or not are required to be followed.	None
Once the principles of natural justice are not complied with, the award made by the arbitrator would be rendered invalid.	None
We, therefore, are of the opinion that the arbitration clause does not necessitate spelling out of a duty on the part of the arbitrator to hear both parties before deciding the question before him.	None
The expression decision subsumes adjudication of the dispute.	None
Here in the instant case, it will bear repetition to state, that the disputes between the parties arose out of a contract and in relation to matters specified therein and, thus, were required to be decided and such decisions are not only final and binding on the parties, but they are conclusive which clearly spells out the finality of such decisions as also their binding nature.	None
A clause which is inserted in a contract agreement for the purpose of prevention of dispute will not be an arbitration agreement.	None
Such a provision has been made in the agreement itself by conferring power upon the EngineerinCharge to take a decision thereupon in relation to the matters envisaged under clauses 31 and 32 of the said agreement.	None
Clauses 31 and 32 of the said agreement provide for a decision of the EngineerinCharge in relation to the matters specified therein.	None
The jurisdiction of the EngineerinCharge in relation to such matters are limited and they cannot be equated with an arbitration agreement.	None
Despite such clauses meant for prevention of dispute arising out of a contract, significantly, Clause 30 has been inserted in the contract agreement by the parties.	None
The Superintending Engineer, Gulbarga Circle, Gulbarga, is an officer of the Public Works Department in the Government of Karnataka.	None
He is not an officer of the University.	None
He did not have any authority or jurisdiction under the agreement or otherwise either to supervise the construction works or issue any direction(s) upon the contractor in relation to the contract job.	None
He might be an ex officio member of the Building Committee, but thereby or by reason thereof, he could not have been given nor in fact had been given an authority to supervise the contract job or for that matter issue any direction upon the contractor as regards performance of the contract.	None
(Emphasis supplied)	None
In Punjab State v. Dina Nath (supra), a two Judge Bench was called upon to consider whether Clause 4 of work order No. 114 dated 16.5.1985 constituted an arbitration agreement.	Reasoning
The clause in question was as under Any dispute arising between the department and the contractor society shall be referred to the Superintending Engineer, Anandpur Sahib, Hydel Circle No. 1, Chandigarh for orders and his decision will be final and acceptable binding on both the parties.	Reasoning
After noticing the judgment in K.K. Modi v. K.N. Modi, the Court observed Keeping the ingredients as indicated by this Court in K.K. Modi in mind for holding a particular agreement as an arbitration agreement, we now proceed to examine the aforesaid ingredients in the context of the present case Clause 4 of the Work Order categorically states that the decision of the Superintending engineer shall be binding on the parties.	Reasoning
The jurisdiction of the Superintending Engineer to decide the rights of the parties has also been derived from the consent of the parties to the Work Order.	Reasoning
The agreement contemplates that the Superintending Engineer shall determine substantive rights of parties as the clause encompasses all varieties of disputes that may arise between the parties and does not restrict the jurisdiction of the Superintending Engineer to specific issues only.	Reasoning
That the agreement of the parties to refer their disputes to the decision of the Superintending Engineer is intended to be enforceable in law as it is binding in nature.	None
The words any dispute appears in Clause 4 of the Work Order.	Reasoning
Therefore, only on the basis of the materials produced by the parties in support of their respective claims a decision can be arrived at in resolving the dispute between the parties.	Reasoning
The use of the words any dispute in Clause 4 of the Work order is wide enough to include all disputes relating to the said Work Order.	Reasoning
Therefore, when a party raises a dispute for nonpayment of money after completion of the work, which is denied by the other party, such a dispute would come within the meaning of arbitration agreement between the parties.	Reasoning
Clause 4 of the Work Order also clearly provides that any dispute between the department and the contractor shall be referred to the Superintending Engineer, Hydel Circle No. 1, Chandigarh for orders.	Reasoning
The word orders would indicate some expression of opinion, which is to be carried our, or enforced and which is a conclusion of a body (in this case Superintending engineer, Hydel Circle No. 1, Chandigarh).	Reasoning
Then again the conclusion and decision of the Superintending Engineer will be final and binding on both the parties.	Reasoning
This being the position in the present case and in view of the fact that Clause 4 of the Work Order is not under challenge before us, the decision that would be arrived at by Superintending Engineer, Hydel Circle No. 1, Chandigarh must also be binding on the parties as a result whereof Clause 4 must be held to be a binding arbitration agreement.	Reasoning
The Bench distinguished the judgment in State of Orissa v. Damodar Das (supra) by making the following observations From a plain reading of this clause in Damodar Das it is evident that the powers of the Public Health Engineer were essentially to supervise and inspect.	Reasoning
His powers were limited to the questions relating to the meaning of the specifications, drawings and instructions, quality of workmanship or materials used on the work or as to any other question, claim, right, matter, drawings, specifications, estimates, instructions, orders or these conditions or otherwise concerning the works or the execution or failure to execute the same.	Reasoning
However, in the case before us, the Superintending Engineer was given full power to resolve any dispute arising between the parties which power in our view is wide enough to cover any nature of dispute raised by the parties.	Reasoning
The clause in the instant case categorically mentions the word dispute which would be referred to him and states his decision would be final and acceptable binding on both the parties.	Reasoning
Krishna Bhagya Jala Nigam Ltd. v. G. Harishchandra Reddy (supra) was decided on the peculiar facts of that case.	Reasoning
The contract which was subject matter of interpretation in that case contained Clause 29.	Reasoning
When the Respondent raised disputes and called upon the Chief Engineer to act as an Arbitrator, the latter refused to do so.	Reasoning
The Designated Judge allowed CMP No. 26/1999 filed under Section 11 of the 1996 Act and directed the Chief Engineer to act as an Arbitrator.	Reasoning
Thereafter, both the parties filed their respective statements before the Arbitrator and produced evidence.	Reasoning
The Arbitrator passed award dated 25.6.2000.	Reasoning
The Appellant  Krishna Bhagya Jala Nigam Ltd. filed a petition under Section 34(2)(v) of the 1996 Act.	Reasoning
The Civil Court confirmed the award of the Arbitrator.	Reasoning
Appeal filed against the judgment of the Civil Court was dismissed by the High Court.	Reasoning
Before this Court, an argument was raised that Clause 29 of the contract was not an arbitration clause.	Reasoning
While rejecting the argument, the two Judge Bench observed We do not find any merit in the above arguments.	Reasoning
The plea of no arbitration clause was not raised in the written statement filed by Jala Nigam before the arbitrator.	Reasoning
The said plea was not advanced before the civil court in Arbitration Case No. 1 of 2001.	Reasoning
On the contrary, both the courts below on facts have found that Jala Nigam had consented to the arbitration of the disputes by the Chief Engineer.	Reasoning
Jala Nigam had participated in the arbitration proceedings.	Reasoning
It submitted itself to the authority of the arbitrator.	Reasoning
It gave consent to the appointment of the Chief Engineer as an arbitrator.	Reasoning
It filed its written statements to the additional claims made by the contractor.	Reasoning
The Executive Engineer who appeared on behalf of Jala Nigam did not invoke Section 16 of the Arbitration Act.	Reasoning
He did not challenge the competence of the Arbitral Tribunal.	Reasoning
He did not call upon the Arbitral Tribunal to rule on its jurisdiction.	Reasoning
On the contrary, it submitted to the jurisdiction of the Arbitral Tribunal.	Reasoning
It also filed written arguments.	Reasoning
It did not challenge the order of the High Court dated 1091999 passed in CMP No. 26 of 1999.	Reasoning
Suffice it to say that both the parties accepted that there was an arbitration agreement, they proceeded on that basis and, therefore, Jala Nigam cannot be now be allowed to contend that Clause 29 of the contract did not constitute an arbitration agreement.	Reasoning
One of the questions which arose for consideration in Karnataka State Road Transport Corporation and Anr.	Reasoning
v. M. Keshava Raju (supra) was whether the appointment of Arbitrator under Section 11 of the 1996 Act was proper.	Reasoning
The facts of that case show that on an application filed by the Respondent under Section 11 of the 1996 Act, the Designated Judge appointed an Arbitrator.	Reasoning
After hearing the parties, the Arbitrator passed award dated 15.10.1998 whereby he allowed some claims of the Respondent.	Reasoning
The objections filed by the Appellant under Section 34 of the 1996 Act were rejected by VI Additional City Civil Judge, Bangalore.	Reasoning
In the appeal filed against the judgment of the trial Court, the High Court formulated the following points Whether the Appellant can be permitted to raise the ground regarding the alleged want of jurisdiction in this Court to refer the dispute between the parties to an Arbitrator under Section 11 of the Act, for the first time, in this appeal.	None
Whether the ground regarding the legality and justification on the part of the Arbitrator to Award a sum of Rs. 2,85,000 towards reimbursement of overhead charges and another sum of Rs. 2,85,000 towards compensating the loss of profits was raised before the Court below, and if it was not raised, whether such plea can be allowed to be raised in this appeal for the first time and if the above plea was in fact raised before the Court below, whether the Arbitrator is justified in awarding a sum of Rs. 2,85,000 towards reimbursement of overhead charges and another sum of Rs. 2,85,000 towards compensating loss of profits having regard to Clause 15(a) of the agreement.	Reasoning
The Division Bench referred to Section 16 and held In our considered opinion, the above plea cannot be entertained for more than one reason.	Reasoning
Firstly, one of the objects in enacting the Act is to have early completion of arbitration proceedings minimising the supervisory role of Courts in arbitral process.	Reasoning
Sections 4, 5 and 16 of the Act have been enacted to give effect to that object.	Reasoning
Secondly, even the method of arbitration as a dispute resolution mechanism and the procedure envisaged for that are intended to reach the finality to resolve the dispute between the parties as quickly as possible.	Reasoning
Therefore, it is imperative that the party raising jurisdiction point, should raise such plea at the earliest, that is to say, at the threshold of the proceeding.	Reasoning
If that is not insisted, it is trite, the very object in enacting the Act, on the basis of the UNCITRAL Modern Law, would be defeated.	Reasoning
The jurisdiction plea now raised for the first time in the Memorandum of Appeal was not raised either directly or by necessary implication before this Court in C.M.P. No. 4/1996 or before the Arbitrator or before the Court below.	Reasoning
The Appellant having acquiesced in the jurisdiction of the Arbitral Tribunal without any demur and protest, having participated in the proceedings and having suffered an award cannot now turn round and raise the plea that the orders of this Court in C.M.P. No. 4 of 1996, the award of the Arbitrator and the judgment of the Civil Court dated 2062000 in Arbitration Suit No. 6 of 1998 are nullity.	Reasoning
Thirdly, the Appellant should be deemed to have waived his right to object to the jurisdiction of the Arbitrator to pass the impugned award in terms of the provisions of Section 4 of the Act.	Reasoning
Section 4 reads as follows Waiver of right to object A party who knows that  (a) any provision of this Part from which the parties may derogate, or (b) any requirement under the arbitration agreement, has not been complied with and yet proceeds with the arbitration without stating his objection to such noncompliance without undue delay or, if a time limit is provided for stating that objection, without that period of time, shall be deemed to have waived his right to so object.	Reasoning
Section 4 narrates the circumstances in which the party, who knowingly fails to object the noncompliance of any nonmandatory provisions of PartI or any requirement under the arbitration agreement by the other party, is deemed to have waived his right to object.	Reasoning
This section is based on general principles such as estoppel or venire contra factum proprium.	Reasoning
It is intended to help the arbitral process function efficiently and in good faith.	Reasoning
If there is noncompliance of any nonmandatory provision of Part I or of any requirement of the arbitration agreement by a party to an arbitration agreement of which the other party to the agreement though has the knowledge of such noncompliance but does not object without undue delay, or if a time limit is provided for stating that objection and no objection is taken within that period of time, such a party later on can neither raise objection about that noncompliance of any provision of Part I nor any requirement of the arbitration agreement since such party shall be deemed to have waived its objection.	Reasoning
Though, in order to apply the doctrine of waiver by invoking Section 4, the first condition is that the noncompliance must be of nonmandatory provision of Part I or of any requirement under the arbitration agreement, certain mandatory provisions of the Act also provide for a grant of waiver in the event of failure to object.	Reasoning
For example, Subsections (2) and (3) of Section 16 are one of such mandatory provisions.	Reasoning
Section 16(2) of the Act provides that a plea that the Arbitral Tribunal does not have jurisdiction shall be raised not later than the submission of the statement of defence.	Reasoning
Section 16(3) of the Act provides that a plea that the Arbitral Tribunal is exceeding the scope of its authority shall be raised as soon as the matter alleged to be beyond the scope of its authority is raised during the arbitral proceedings.	Reasoning
Thus, none of the judgments relied upon by Learned Counsel for the contractors is of any help to their cause.	Reasoning
In the result, Civil Appeal Nos. 1586, 1587, 1588, 4187, 5496, 6323, 6327 and 6328 of 2004 Civil Appeal Nos. 558560 of 2006 Civil Appeals arising out of SLP(C) Nos. 16117, 17147, 24655 and 26073 of 2004 Civil Appeals arising out of SLP(C) Nos. 5951, 12552 and 12553 of 2006, Civil Appeal arising out of SLP(C)	Decision
No. 8597 of 2009 and Civil Appeal arising out of SLP(C)	Decision
No. 13528 of 2012 are dismissed.	Decision
However, liberty is given to the Appellants to avail appropriate legal remedy for recovery of the amount, if any, due from the Respondents.	Decision
Civil Appeals arising out of SLP(C)	Decision
Nos. 2808728088, 28089, 2922729230 and 31975 of 2011 and Civil Appeal No. 1374 of 2013 are allowed.	Decision
The orders passed by the Designated Judge, which are subject matter of challenge in the five appeals are set aside.	Decision
It is, however, made clear that the Respondents shall be free to avail appropriate legal remedies for recovery of the amount, if any, payable to them in terms of their respective agreements.g	Decision
