 	Facts
Having received this representation, Akbar issued an order that the above mentioned Mowzah had been given over taxfree into the possession of the abovementioned Goswami from descendant to descendant.	Reasoning
It would thus be seen that though the grant by which the land in question was exempted from payment of taxes is in the name of the Goswami, there can be no doubt that it was so named on the representation made by the Goswami that he had purchased the land and built structures on it for the temple of Gordhan Nath.	Reasoning
Thus, in substance, the grant was made to the Goswami who was managing the temple of Gordhan Nath.	Reasoning
The grant of Shah Jahan made in 1633 A. D. is to the same effect.	Reasoning
These grants are in reference to the temple built by Vithalrai in Jatipura.	Reasoning
We have already seen that the idol of Shrinathji was removed from the said temple and brought to Nathdwara in about 1671.25.	None
The earliest document in regard to Siarh is of the Year 1672 A. D.	None
This document has been issued by the Rana of Udaipur and it says thatBe it Known that Shrinathji residing at Sihod let uncultivated land as may desire be cultivated till such time.	None
When Shrinathji goes back to Brij the land of those too whom it belongs will be returned to them.	None
If any one obstructs in any way he will be rebuked.	None
The next document is of 1680 A. D.	None
It has been issued by Rana of Udaipur and is in similar terms.	None
It says that when Shrinathji goes back to Brij from Singhad Brahmins will get the land which is of the Brahmins.	None
They will get the land as is entered in previous records.	None
So long as Shrinathji stays here, no Brahmin shall cultivate towards the West of Shah Jagivans wall upto and across the foot of the hillock.	None
If any one cultivates a fine of Rs.	None
225/ shall be realised collectively.	None
Fortunately, for Nathdwara,the temple which was then built for Shrinathji for a temporary abode has turned out to be Shrirnathjis permanent place of residence.	None
These two documents clearly show that after Shrinathji was installed in what is now known as Nathdwara, the land occupied for the purpose of the temple was given over for that purpose and the actual occupants and cultivators were told that they would get the land back when Shrinathji goes back to Brij.26.	None
We have already cited the extract from Col. Todds Annals of Rajasthan in which he has graphically described the traditional belief in regard to the choice of Siarh for the abode of Shrinathji.	None
That extract shows that as soon the chariot wheel of Shrinathji stopped and would not move, the chief hastened to make a perpetual gift of the village and its lands which was speedily confirmed by the patent of the Rana Nathji was removed from his car and in cue course of time a temple was erected for his reception.	None
That is how the hamlet of Siarh became the town of Nathdwara.	None
This assurance given by the chief was confirmed by the two grants to which we have just referred Thus, there can be no doubt that the original grants were for the purpose of the temple.27.	None
A deed of dedication executed by Maharaana Shri Bhim Singhji in favour of Gusunji in Sambat 1865 also shows that the lands therein described has been dedicated to Shriji and Shri Gusainji and that all the income relating to those lands would be dedicated to the Bhandar of Shriji.28.	None
A letter written by the Maharana on January 17, 1825, speaks to the same effect.	None
Our ancestors says the letter,kept the Thakurji Maharaj and the Gosainji Maharaj at the village of Shinhad which is near Udaipur and presented that village to the Thakurji After this, our ancestors became followers of that religion and agreed to obey orders.	None
They all granted lands and villages for the expenses of the God.	None
Besides these certain lands were granted for the grazing of the cows belonging to the Thakurji.	None
This letter contains certain orders to the officers of the state to respect the rights of the temple and Gosainji.29.	None
Consistently with this record we find a declaration made by Tilkayat Gordhanji in 1932 in which he stated that .the money of Shri Thakurji as is the practice now that it is not spent in our private expenditure, the same will be followed,though along with this declaration he added that the proprietary right was his own from the time of the ancestors.	None
In conformity with the saint, the entry will continue as usual in the accounts of credit and debt, as is the continuing mutation.	None
Even though the Tilkayat set up the claim that the temple was private, it is consistently adhered to that the income derived from the properties of the temple is not intended to be and has never been used for the personal requirements of the Tilkayat.30.	None
It is true that there are other grants which have been produced on the record by the Tilkayat for the purpose of showing that some gifts of immoveable property were made in favour of the Tilkayat.	None
Such wants may either show that the gets were made to the Tilkayat because he was in the management of the temple, or they may have been made to the Tilkayat in his personal character.	None
Grants falling in the former category would constitute the property of the temple, whilst those falling in the latter category would constitute the private property of the Tilkayat.	None
These grants, however would not affect the nature of the initial grants made to the temple soon after Shrinathji came to Nathdwara.	None
Therefore in our opinion having regard to the documentary evidence adduced in the present proceedings, it would be unreasonable to contend that the temple was built by the Tilkayat of the day as his private temple and that it still continues to have the character of a private temple.	None
From outside it no doubt has the appearance of Haveli, but it is common ground that the majestic structure inside is consistent with the dignity of the idol and with the character of the temple as public temple.31.	None
We have referred to those aspects of the matter because they were elaborately argued before us by the learned Attorney General.	None
But as we will presently point out, the Firman issued by the Udaipur Darbar in 1934 really concludes the controversy between the parties on these points and it shows that the Shrinathji Temple at Nathdwara is undoubtedly a public temple.	None
It is, therefore, now necessary to consider this Firman.	None
This Firman consists of four clauses.	None
The first clause declares that according to the law of Udaipur, the shrine of Shrinathji has always been and is a religious institution for the followers of the Vaishnava Sampradaya and that all the property immoveable and movable dedicate, offered or presented to or otherwise coming to the Deity Shrinathji has always been and is the property of the shrine and that the Tillkayat Maharaj for the time being is merely a Custodian Manager and Trustee of the said property for the shrine of Shri Nathji and that the Udaipur Darbar has absolute right to supervise that the property dedicated to the shrine is used for legitimate purpose of the shrine.	None
The second clause deals with the question of succession and it provides that the law of Udaipur has always been and is that the succession to the Gaddi of Tilkayat Maharaj is regulated by the law of primogeniture, and it adds that the Udaipur Darbar has the absolute right to depose any Tilkayat Maharaj for the time being if in its absolute discretion such Maharaj is considered unfit and also for the same reason and in the same way to disqualify any person who would otherwise have succeeded to Gaddi according to the law of primogeniture.	None
The third clause provides that in case the Tilkayat Maharaj is a minor, the Darbar always had and has absolute authority to take any measures for the management of the shrine and its properties during such minority.	None
The last clause adds that in accordance with the said law of Udaipur, the Rana had declared Shri Damodarlalji unfit to occupy the Gaddi and had approved of the succession of Goswami Govindlalii to the Gaddi of Tilkayat Maharaj, and it ends with the statement that the order issued in that behalf on October 10, 1933 was issued under his authority and is lawful and in accordance with the law of Udaipur.32.	None
In appreciating the effect of this Firman, it is first necessary to decide whether the firman is a law or not.	None
It is matter of common knowledge that at the relevant time the Maharana of Udaipur was an absolute monarch in whom vested all the legislative, judicial and executive powers of the State.	None
In the case of an absolute Ruler like the Maharana of Udaipur it is difficult to make any distinction between an executive order issued by him or a legislative command issued by him.	None
Any order issued by such a Ruler has the force of law and did govern the rights of the parties affected thereby.	None
This position is covered by decisions of this court and it has not been disputed before us, vide Madhaorao Phalke v. State of Madhya Bharat, 19611 SCR 957 (AIR 1961 SC 298 ).	None
AmeerunNissa Begum v, Mahboob Begum, AIR 1955 SC 352 and Director of Endowments, Government of Hyderabad v. Alkram Alim (S) AIR .1956	None
SC 60 .33.	None
It is true that in dealing with the effect of this Firman, the learned AttorneyGeneral sought to raise before us a novel point that under Hindu law even an absolute monarch was not competent to make a law affecting religious endowments and their administration.	None
He suggested that he was in position to rely upon the opinions of scholars which tended to show that a Hindu monarch was competent only to administer the law as prescribed by Smgritis and the oath which he was expected to take at the time of his coronation enjoined him to obey the Smritis and to see that their injunctions were obeyed by his subject.	None
We did not allow the learned AttorneyGeneral to develop this point because we hold that this novel point cannot be accepted in view of the wellrecognised principles of jurisprudence.	None
An absolute monarch was the fountainhead of all legislative, executive and judicial powers and it is of the very essence of sovereignty which vested in him that he could supervise and control the administration of public charity.	None
In our opinion there is no doubt whatever that this universal principle in regard to the scope of the powers inherently vesting in sovereignty applies as much to Hindu monarchs as to any other absolute monarch.	None
Therefore, it must be held that the Firman issued by the Maharana of Udaipur in 1934 is a law by which the affairs of the office Nathdwara.	None
Temple and succession to the office of the Tilkayat were governed after its issue.34.	None
Then the learned AttorneyGeneral contended that in judging the effect of this Firman we should not ignore the background of events which necessitated its issue.	None
Damodarlalji had been deposed by Maharana and was more in anger that the Firman was issued to meet the challenge of the said incident.	None
Damodarlalji had filed certain suits in the Bombay High Court and if appeared as it a doubt would arise in the minds of he followers and devotees of the temple as to whether the deposition of Damodarlalji was valid or not.	None
It was with a view to meet this specific particular situation that the Firman was issued and so it need not be treated as a law binding for all times.	None
In our opinion, this argument is clearly misconceived.	None
Whatever may be the genesis of the Firman and whatever may be the nature of the mischief which it was intended to redress, the words used in the Firman are clear and as provisions contained in statute they must be given full effect.	Reasoning
There can be little doubt that after this Firman was issued, it would not be open to anyone to contend, that the Shrinathii temple was a private temple belonging to the Tilkayat Maharaj of the day.	Reasoning
This law declares that it has always been and would always be a public temple.	Reasoning
The validity of this law was not then and is not now open to any challenge when it seeks to declare that that the temple in question has always been a public temple.	None
We have already seen that the original grants amply bear out the recital in cl.	None
1 of the Firman about the character of this temple.	None
The Firman then clearly provides that the Tilkayat Maharaj is merely a custodian.	None
Manager and Trustee of the said property and that finally determines the nature of the office held by the Tilkayat Maharaj.	None
He can claim no, better and no higher fights after the Firman was issued.	None
The said clause also declares that the Darbar has absolute right to see to it that the property is used for legitimate purpose of the shrine.	None
This again is an assertion which is validly made to assert the sovereigns rights to supervise the administration of public charity.	None
Clause 2. lays down the absolute right of the Darbar to depose the Tilkayat and to disqualify anyone from claiming the succession to the Gaddi.	None
It shows that succession to the Gaddi andcontinuing in the office of the Tilkayat are wholly defendant on the discretion of the Darbar.	None
The Right of the Darbar to depose the Tilkayat, and to recognise a successor or not is described by this Pause as absolute.	None
The third and the fourth clauses are consistent with the first two claues.	None
Reading this Firman a whole there can be no doubt that under the law of Udaipur, this temple was held to be a public temple and the Tilkayat was held to be no more than the Custodian, Manager and Trustee of the property belonging to the said temple.	Reasoning
It is on the basis of this law that the vires of the Act must inevitably be determnied.35.	None
The 1earned AttorneyGeneral has invited our attention to some decisions in which the temples of this cult were held to be private temples.	None
We would now very briefly refer to these decisions before we proceed to deal with the other points raised in the present appeals.	None
In Gossamee Sree Greehareejee v. Ramanlaljee Gossamee, 16 Ind App 137 (PC) the Privy Council held that when the worship of Thakoor has been founded under Hindu Law, the shebaitship is held to be vested in the heirs of the founder, in default of evidence that he has disposed of it otherwise, or that there has been some usage, course of dealing, or circumstances to show a different mode of devolution.	None
Greedhareejee who as the plaintiff appeared before the privy Council as appellant had been deposed by the Rana of Udaipur in 1876.	None
He claimed the rights of shebaitship of a certain consecrated idol and as incident thereto to the things which had been offered to the idol.	None
This claim was based on the allegation that by the rule of primogeniture he had preferential right and not his opponent Rumanlolljee Gossamee.	None
The High Court of Calcutta by a majority judgment had held that Greedhareejees title as a founder had been established and that the bar of limitation pleaded by the respondent applied to the temple and the land on which it was built but not to the image and the movable property connected with it.	None
In the result, Greedharjee got a decree for so much of his claim as was not barred by the lapse of time.	None
This conclusion was confirmed by the privy Council.	None
It would be noticed that since the dispute was between two rival claimants neither of whom was interested in pleading that the temple was a public temple that aspect of the matter did not fall to be considered in the said litigation, and so, this decision can be regarded as an authority only for the proposition which it laid down in regard to the succession of the shebaitship.	None
The learned AttorneyGeneral no doubt invited our attention to the fact that in the course of his judgment, Lord Hobhouse has mentioned that all the male members of the Vallabhas family are in their lifetime esteemed by their community as partaking of the Divine essence, and as entitled to veneration and worship.	None
This observation, however, can be of little held to the Tilkayat in the present proceedings where we have to deal with the matter on the basis of the Firman to which we have just referred.	None
Besides, we may incidentally add that the Tilkayats claims to property rights in the present proceedings based on the allegation that the members of the denomination regard all successors of Vallabha with the same respect which they had for Vallabha himself, sounds in congruous with the essential tenets of Vallabha s philosophy.36.	None
In Mohan Lalji v. Gordhan Lalji Maharaj, 40 Ind App 97 (PC) the dispute which was taken before the privy Council was in regard to the right claimed by the sons of a daughter to the shebaitship of the temple of Vallabha sect and in support of the said right the sons of the daughter relied upon the earner decision of Privy council in the case of Gossammee Sree Greedhareejee, 16 Ind App 137 (PC).	None
In rejecting the plea made by the said sons, the privy Council observed that the principle laid down in the earlier case cannot be applied so as to vest the shebaitship in persons who, according to the usages of the worship, cannot perform the rites of the office.	None
In that case it was found that the sons of the daughter who were Bhats and who did not belong to the Gosain Kul were incompetent to perform the diurnal rites for the deity worshipped by the sect and so, the decision of the High court which had rejected their claim was confirmed.	None
In this case again neither party was interested in pleading the public character of the temple and so, that point did not arise for decision.37.	None
The same comment falls to be made about the decision of Allahabad High Court in Gopal Lalji v. Girdhar Lalji, AIR 1915 All 44 .	None
It is true that in that case the plaintiff challenged a gift deed executed by one Goswami of the Vallabha sect in favour of another Goswami and in doing so he alleged that the donor Goswami was a Trustee and not the owner of the property.	None
But in the course of the evidence, it was virtually conceded by him that the property belonged to the donor Goswami, and so, the case was decided on that basis.	None
In its judgment, the High Court observed that there can be no doubt that if we must regard the property as trust property in the strict sense, dedicated for a charitable or religious purpose in the hands of duly constituted trustees of the charitable or religious purpose in the hands of file constituted trustees of the charitable or religious object, one or more of such trustees would have no power to alienate the trust property or delegate their powers and duties contrary to the trust.	None
But the High Court found that the evidence adduced conclusively established that the property in question was private property and so, the challenge to the validity of the gift was repealed.	None
This decision also cannot be of any assistance in deciding the question as to whether the temple with which the present proceedings are concerned is a private or a public temple.	None
Besides, as we have already indicated, this question is really concluded by the Firman of 1934 and so, the temple must be held to be a public temple and in consequence the challenge to the validity of the Act on the basis that the Act has interfered with the Tilkayats rights of ownership over his private property cannot succeed.38.	Reasoning
Let us now examine the material provisions of the Act before dealing with the contentions of the Tilkayat that the said provisions contravene his fundamental rights under Article 19 (1) (f) and Articles 14 and 31 (2) even on the basis that the temple is a public temple.	None
The Act was passed to provide for the better administration and governance of the temple of Shri Shrinathji at Nathdwara.	None
It consists of 38 sections.	None
Section 2 is a definition section under Section 2 (i) Board means the Nathdwara Temple Board established and constituted under the Act, and Section 2 (ii) defines Endowment as meaning all property, movable or immovable belonging to or given or endowed in any name for the maintenance or support of the temple or for the performance of any service or charity connected therewith or for the benefit, convenience or comfort of the Pilgrims visiting the temple, and includes(a) the idols installed in the temple.(b) the premises of the temple.(c) all jagirs, muafis and other properties movable or immovable, wherever situate and all income derived from any source whatsoever and standing in any name, dedicated to the temple or placed for any religious, pious or charitable purposes under the Board or purchased from out of the temple funds and all offerings and bhents made for and received on behalf of the temple.but shall not include any property belonging to the Goswami personally although the same or income thereof might hitherto have been utilised in part or in whole in the service of the temple.	None
Section 2 (vii) defines temples as meaning the temple of Shri Shrinathji at Nathdawara in Udaipur District and includes the temple of Shri Navnitpriyaji and Shri Madan Mohanlalji together with all additions thereto or all alterations thereof which may be made from time to time after the commencement of the Act.39.	None
Sections 3 and 4 are important provisions of the Act.	None
Sections 3 provides that the ownership of the temple and all its endowments including all offerings which have been or may hereafter be made shall vest in the deity of Shri Shrinathji and the Board constituted under the Act shall be entitled to their possession.	None
In other words, all property of the temple vests in the temple and the right to claim possession of it vests in the Board.	None
As corollary to the provisions of Section 3, Section 4(1) provides that the administration of the temple and all its endowments shall vest in the Board constituted in the manner hereinafter provided.	None
Sub section (2) lays down that the Board shall be a body corporate by the name of the Nathdwara Temple Board and shall have perpetual succession and a common seal with power to acquire and hold property, both movable and immovable, and may sue or be sued in the said name.	None
The composition of the Board has been prescribed by Section 5 it shall consist of a President, the Collector of Udaipur District and nine other members.	None
The proviso to the section is important It says that the Goswami shall be one of such members if he is not otherwise disqualified to be a member and is willing to serve as such.	None
Section 5 (2) prescribes the disqualifications specified in Clauses (a) to (g)unsoundness of mind adjudicated upon by competent Court, conviction involving moral turpitude adjudication as an insolvent or the status of an undischarged insolvent minority, the defect of being deafmute or leprosy holding an office or being a servant of the temple or being in receipt of any emoluments or perquisites from the temple being interested in a subsisting contract entered into with the temple and lastly, not professing the Hindu religion or not belonging to the PushtiMargiya Vallabhi Sampradaya.	None
There can be no doubt that or in clause (g) must mean and, for the context clearly indicates that way.	None
There is a proviso to Section 5 (2) which lays down that the disqualification as to the holding of an office or an employment under the temple shall not apply to the Goswami and the disqualification about the religion will not apply to the Collector that is to say, a Collector will be a member of Board even though he may not be a Hindu and a follower of the denomination.	None
Section 5(3) provides that the President of the Board shall be appointed by the State Government and shall for all purposes be deemed to be a member.	None
Under Section 5 (4) the Collector shall be an ex officio member of the Board.	None
Sections 5(5) provides that all the other members specified n subclause (1) shall be appointed by the State Government so as to secure representation of the PushtiMargiya Vaishnavas from all over India.	None
This clearly contemplates that the other members of the Board shall not only be Hindus, but should also belong to the denomination, for it is in that manner alone that their representation can be adequately secured.	None
Section 6 gives liberty to the President or any member to resign his office by giving a notice in writing to the State Government.	None
Under Section 7 (1), the State Government is given the power to remove from office the President or any member, other than the exofficio member, including the Goswami on any of the three grounds specified in Clauses (a),(b) and (c) ground (a) refers to the disqualification specified by Sections 5 (2), ground (b) refers to the absence of the member for more than four consecutive meetings of the Board without obtaining leave for absence and ground (c) refers to the case where a member is guilty of corruption or misconduct in the administration of the endowment.	None
Section 7(2) provides a safeguard to the person against whom action is intended to be taken under subclause (1) and it lays down that no person shall be removed unless he has been given a reasonable opportunity of showing cause against his removal.	None
It would be noticed that by operation of Section 7 (1), the Goswami is liable to be removed, but that removal would, in a sense, be ineffective because the proviso to Section 5 requires that the Goswami has to be a member of the Board so that even though he is removed for causes (b) and (c), he would automatically be deemed to be a member under the proviso to Section 5.	None
It would be a different matter if the Goswami is removed by reason of the Board so that even though is removed for cases fact that he is disqualified on any of the grounds described in Section 5(2).	None
Such a disqualification may presumably necessitate the appointment of a successor Goswami in lieu of the disqualified one and then it would be the successor Goswami who will be a member of the Board under the Proviso to Section 5 (1).	None
This position is made clear if we look at Section 11 which provides that any person ceasing to be a member shall, unless disqualified under Sec.	None
5 (2), be eligible for reappointment, whereas other members who are removed under section 7(1) for causes specified in clauses (b) and (c) may be eligible for reappointment, the Goswami would be entitled to such reappointment.	None
Section 8 prescribes the term of office at 3 years.	None
Section 9 provides for the firing up of casel vacancies.	None
Section 10 empowers the State Government to dissolve the Board and reconstitute it if it is satisfied that the existing Board is not competent to perform or persistently makes default n performing the duties imposed on it under this Act, or exceeds or abuses its powers and this power can be exercised after due enquiry.	None
This section further provide that if a Board is dissolved, immediate action should be taken to reconstitute a fresh Board in accordance with the provisions of this Act.	None
Section 10 (2) provides a safeguard to the board against which action is proposed to be taken under subsection (1) inasmuch as it requires that before the notification of the Boards dissolution is issued, Government will communicate to the Board the grounds on which it proposes so to do, fix a reasonable time for the Board to show cause and consider its explanation or objections, if any.	None
Section 10 (3) empowers the State Government, as a provisional and interim measure, to appoint a person to perform the functions of the Board until a rest Board is reconstituted, and under Section 10(4), the State Government is given the power to fix the remuneration of the persons so appointed.	None
Section 12 makes every member of the Board liable for loss, waste or misapplication of any money or property belonging to the temple, provided such loss, waste or misapplication is a direct consequence of his wilful act or omission, and it allows a suit to be instituted to obtain such compensation.	None
Under Section 13, members of the Board as well as the President are entitled to draw travelling and halting allowances as may be prescribed Section 14 deals with the office and meetings of the Board and Section 15 provides that any defect or vacancy in the constitution of the Board will not invalidate the acts of the Board.	None
Section 16 is important.	None
It lays down that subject to the provisions of this Act and of the rules made thereunder, the Board shall manage the properties and affairs of the temple and arrange for the conduct of the daily worship and ceremonies and of festivals in the temple according to the customs and usages of the PushtiMargiya Vallabhi Sampradaya.	None
Section 17 (1) provides that the jewelleries or other valuable movable property of a non Perishable character the administration of which vests in the Board shall not be transferred without the previous sanction of the Board, and if the value of the property to be transferred exceeds ten thousand rupees, the previous approval of the State Government has to be obtained.	None
Section 17(2) requires the previous sanction of the State Government for leasing the temple property for more than five years or mortgaging, selling or otherwise alienating it.	None
Section 18 imposes a ban on the borrowing power of the Board.	None
Section 19 (1) provides for the appointment of the Chef Executive Officer of the temple, and the remaining four subsections of Section 19 deal with his terms and conditions of service.	None
Section 20 speaks of the powers and duties of the Chief Executive Officer which relate to the administration of the temple properties.	None
Section 21, provides that the Board may appoint,suspend, remove, dismiss or reduce rank or in any, way punish all officers and servants of the Board other than Chief Executive Officers in accordance with rules made by the State Government.	None
Section 22 is very important.	None
It provides that save as otherwise expressly provided in or under this Act, nothing herein contained shall affect any established usage of the temple or the rights, honours emoluments and perquisites to which any person may, by custom or otherwise, be entitled in the temple.	None
Section 23 deals with the budget, Section 24 with account and Section 25 with the Administration Report.	None
Section 26 confers on the State Government power to call for such information and at accounts as may, in its opinion be reasonably necessary to satisfy it that the temple is being properly maintained, and its administration carried on according to the provisions of this Act.	None
Under this section, the Board is under an obligation to furnish forthwith such information and accounts as may be called for by the State Government.	None
Under Section 27, the State Government may depute any person to inspect any movable or immovable property, records, correspondence, plans, accounts and other documents relating to the temple and its endowments, and the Board and its officers and servants shall be bound to afford all facilities to such persons for such inspection.	None
Section 28 (1) specifies the purposes for which the funds of the temple may be utilised and Section 28 (2) provides that without prejudice to the purposes referred to in subsection (1), the Board may, with the previous sanction of the State Government, order that the surplus funds of the temple be utilised for the purposes mentioned in Clauses (a) to (e).	None
Section 28 (3) requires that the order of the Board under subsection (2) shall be published in the prescribed manner.	None
Section 29 deals with the duties of trustee of specific endowment Section 30 (1) confers the power on the State Government to make rules for carrying out all or any of the purposes of the Act Section 30 (2) provides that in particular and without prejudice to the generality of the foraging power, the State Government shall have power to make rules with reference to matters covered by clauses (a) to (i).	None
Under subsection (3) it is provided that the rules made under this Act shall be placed before the House of the State Legislature at the session thereof next following.	None
Section 31 provides that the State Government or any person interested may institute a suit in the Court of District Judge to obtain a decree for the reliefs mentioned in clauses (a) to (e).	None
These reliefs correspond to the reliefs which may be obtained in a suit under Section 92 C. P. C	None
In consequences Section 31 (2) provides that Sections 92 and 93 and Order 1 Rule 8 of the First Schedule to the Code of Civil Procedure shall have no application to any suit claiming relief in respect of the administration or management of the temple and no suit in respect thereof shall be instituted except as provided by this Act.	None
In other words, a suit which would normally have been filed under Sections 92 and 93 and Order 1 Rule 8 of the Code has now to be filed under Section.	None
31 Section 31 deals with the resistance or obstruction in obtaining possession and it provides that the order which may be passed by Magistrate in such matters shall subject to the result of any suit which may be filed to establish the right to the possession of the property, be final.	None
Section 33 deals with the costs of the suit etc., Section 34 provides that this Act shall have effect notwithstanding anything to the contrary contained in any law for the time being in force or in any scheme of management framed before the commencement of this Act or in any decree order, practice, custom or usage .Section 33 contain a transitional provision and it empowers the State Government to appoint one or more persons to discharge all or any of the duties of the Board after the Act comes into force and before the first Board is constituted.	None
Under Section 36 it is provided that if any difficulty arises in giving effect to any of the.	None
provisions of this Act, the State Government may by order, give such directions and make such provisions as may appear to it to necessary for the purpose of removing the difficulty .Section	None
37 prescribes a bar to suit or proceeding against the Sate Government for anything done or purported to be done by it under the provisions of this Act.	None
The last section deals with repeal and savings.	None
The Rajasthan Ordinance No. 2 of 1959 which had preceded this Act has been repealed by this section.	None
That in brief, is the scheme of the Act.40.	None
Later, we will have occasion to deal with the specific sections which have been challenged before us but at this stage, it is necessary to consider the broad scheme of the Act in order to be able to appreciate the points raised by the Tilkayat and the denomination in challenging its validity.	None
For the purpose of ascertaining the true scope and effect of the scheme envisaged by the Act it is necessary to concentrate on Sections 3, 4, 16, 22 and 34.	None
The scheme of the Acts as its preamble indicates, is to provide for the better administration and governance of the temple of Shri Shrinathji at Nathdwara.	None
It proceeds on the basis that the temple of Shrinathji is a public temple and having regard to the background of the administration of its affairs in the past, the legislature thought that it was necessary to make a more satisfactory provision which will land to its better administration and governance.	None
In doing so the legislature has taken precaution to safeguard the performance of religious rites and the observance of religious practices in accordance faith traditional usage and custom.	None
When the validity of any legislative enactment is impugned on the ground that its material provisions contravene one or the other of the fundamental rights guaranteed by the Constitution, it is necessary to bear in mind the primary rule of construction.	None
If the impugned provisions of the statute are reasonably capable of a construction which does not involve the infringement of any fundamental rights, that construction must be preferred though it may reasonably be possible to adopt another construction which leads to the infringement of the said fundamental rights.	None
If the impugned provisions are reasonable not capable of the construction which would save its validity, that of course is another matter but if two constructions are reasonably possible, then it is necessary that the Courts should adopt that construction which upholds the validity of the Act rather than the one which affects its validity.	None
Bearing this rule of construction in mind, we must examine the five sections to which we have just referred.	None
Section 3 no doubt provides for the vesting of the temple property and all its endowments including offerings in the deity of Shrinathji and that clearly is unexceptionable.	None
If the temple is a public temple, under Hindu Law the idol of Shrinathji is a juridical person and so, the ownership of the temple and all its endowments including offerings made before the idol constitute the property of the idol.	None
Having thus stated what is the true legal position about the ownership of the temple and the endowments, Section 3 proceeds to add that the Board constituted under this Act shall be entitled to the possession of the said property.	None
If the legislature intended to provide for the better administration of the temple properties, it was absolutely essential to constitute a property Board to look after the said administration, and so, all that Sec. 3 does is to enable the Board to take care of the temple properties and in that sense, it provides that the Board shall be entitled to claim possession of the said properties.	None
In the context, this provision does not mean that the Board would be entitled to dispossess persons who are in possession of the said properties it only means that the Board will be entitled to protect its possession by taking such steps as in law may be open to it and necessary in that behalf.	None
Section 4 is a mere corrollary to Section 3 because it provides that the administration of the temple and all its endowments shall vest in the Board.	None
Thus, the result of reading Sections 3 and 4 is that the statute declares that the properties of the temple vest in the deity of Shrinathji and provides for the administration of the said properties by appointing a Board and entrusting to the Board the said administration.41.	None
The true scope and effect of these provisions can be properly appreciated only when they are corelated to Sections 16 and 22.	None
Section 16 prescribes the duties of the Board it requires that subject to the provisions of the Act and the rules framed under it, the Board has to manage the properties and affairs of the temple and arrange for the conduct of the daily worship and ceremonies and of festivals in the temple according to the customs and usages of the PushtiMargiya Vallabhi Sampradaya.	None
It would be noticed that two different categories of duties are imposed upon the Board.	None
The first duty is to manage the properties.	None
and secular affairs of the temple.	None
This naturally is a very important part of the assignment of the Board.	None
Having thus provided for the discharge of its important function in the matter of administering the properties of the temples the section adds that it will be the duty or the Board to arrange for the religious worships, ceremonies and festivals in the temple, but this has to be done according to the customs and usage of the denomination.	None
It is thus clear that the duties of the Board in so far as they relate to the worship and other religious ceremonies and festivals it is the traditional customs and usage which is of paramount importance.	None
In other words, the legislature has taken precaution to safeguard the due observance of the religious ceremonies, worship and festivals according to the custom and usage of the denomination.	None
Section 22 makes this position till clearer it provides that save as otherwise expressly provided in or under the Act, nothing herein contained shall affect any established usage of the temple or the rights honours, emoluments and perquisites to which any person may, by custom or otherwise, be entitled in the temple.	None
The saving provisions of Section 22 are very wide unless there is an express provision to the contrary in the Act, all matters which have been saved by Section 22 will be governed by the traditional usage and custom.	None
If only we consider the very wide terms in which the saving clause under Section 22 has been drafted, it will be clear that the legislature was anxious to provide for the better administration of the temple properties and not to infringe upon the traditional religious ceremonies, worship and festivals in the temple and the rights, honours, emoluments and the perquisites attached thereto.	None
Section 34 which provides for the overriding effect of the Act must be areas along with Section 22 and so, when it provides that the Act shall have effect notwithstanding practice, custom or usage, it only means that practice, custom and usage will not avail only if there is an express provision to the contrary as prescribed by Section 22.42.	None
Reading these five sections together, it seems to us clear that the legislature has provided for, the appointment of a Board to look after the administration of the property of the temple and manage its secular affairs as well as the religious affairs of the temple but in regard to those religions affairs consisting of the worship, services, festivals asked other ceremonies, the custom prevailing in the temple consistently with the tenets of Vallabha Philosophy are to be respected.	Reasoning
The learned AttorneyGeneral no doubt attempted to read Sections 3 and 4 in a very wide manner and he sought to place a narrow construction on S. 22, thereby indicating that even religious ceremonies and rights and festivals would remain within the exclusive jurisdiction of the Board without reference to the traditional custom or usage.	Reasoning
We do not thinly that it would be appropriate to adopt such an approach in construing the relevant provisions of the Act.	Reasoning
We have no doubt that when rules are framed under Section 30 of the Act, they would be framed bearing in mind these essential features of the material provisions of the Act and will help to carry out the object of the Act in keeping the religious part of the services and worship at the temple apart from the secular part of the administration of the temple properties.	Reasoning
Broadly stated, the former will be carried out according to the traditional usage and custom and the latter according to the provisions of the Act.43.	None
On behalf of the Tilkayat, the main contention which has been raised before us by the learned AttorneyGeneral is that his right of property has been infringed under Article 19 (1) (f) and Mr. Pathak has added that the relevant provisions infringed the Tilkayats rights under Article 31 (2) of the Constitution.	Arguments of Petitioner
As we have already indicated this latter contention is raised in the writ petition filed by the Tilkayat in this Court.	None
Now in deciding the validity of these contentions it is necessary to revert to the Firman issued by the Rana of Udaipur in 1934 because the rights of the Tilkayat have to be judged in the light of the said Firman.	None
We have already noticed that the said Firman dearly declares that the Tilkayat is merely a Custodian, Manager and Trustee of the property of the shrine Shrinathji and that the Udaipur Darbar has the absolute right to supervise that the property dedicated to the shrine is used for legitimate purpose of the shrine.	None
Having regard to the unambiguous and emphatic words used in clause 1 of the Firman and having regard to other drastic provisions contained in its remaining clauses, we are inclined to think that this Firman made the Tilkayat for the time being a Custodian, Manager and Trustee, and nothing more.	None
