 	Arguments of Respondent
Hasanali Khanbhai Sons v. State of Gujarat and Land Acquisition Officer v. Nookala Rajamallu where the deduction by way of development charges was held permissible.18.	None
The situation is no different in the present case.	None
All that the acquiring body has to achieve is to widen the national highway.	None
There is no further question of any development.	None
We again, even at the cost of repetition, reiterate that no evidence was shown before us in support of the plea of the proposed development.	None
We, therefore, hold that the High Court has erred in directing the deduction on account of the developmental charges at the rate of Rs 25 per square foot out of the ordered compensation at the rate of Rs 75 per square foot.	None
We set aside the judgment to that extent.	None
However, keeping in view the smallness of the plots which were sold by Exhibits P1, P3 to P8, P11 and P12, we would approve the deduction of 50 for the purpose of determining compensation payable for 3.627 hectares comprised in Survey Nos.2, 10, 20, 22, 46, 48 and 106 and 0.951 hectare comprised in Survey No.18.31.	Reasoning
The issue which remains to be considered relates to the amount of compensation payable to the appellants.	Reasoning
For this purpose, we shall make calculation by adopting the following modes If sale deeds Exhibits P4 and P5 are relied upon and 50 deduction is made on account of smallness of the land sold by these exhibits, the amount of compensation would come to Rs.8.93 per sq. ft., andii)	Reasoning
If sale deeds Exhibits P3, P6 to P9 and P11 are taken into consideration and 50 deduction is made due to smallness of the plots, the appellants would be entitled to compensation at the rate of Rs.4.04 per sq. ft.	Reasoning
However, keeping in view the proposition laid down in M. Vijayalakshmamma Rao Bahadur v. Collector (supra), State of Punjab v. Hans Raj (supra), Anjani Molu Dessai v. State of Goa (supra) and Mehrawal Khewaji Trust (Registered), Faridkot and others v. State of Punjab and others (supra), we would adopt the first mode and hold that the appellants are entitled to compensation at the rate of Rs.8.93 per sq. ft.33.	Reasoning
We may have ordained payment of compensation to the appellants at the rate of 8.93 per sq. ft.	Reasoning
(rounded off to Rs.9 per sq. ft.), but having regard to the fact that in the claim filed before the Reference Court, they had limited their claim to Rs.5 per sq. ft. and no application was filed either before the High Court or this Court for payment of higher compensation, we would restrict the enhancement to Rs.5 per sq.ft.34.	Reasoning
We agree with Shri Lalit that in view of the law laid down in Sunder v. Union of India (2001) 7 SCC 211 , Chimanlal Kuberdas Modi v. Gujarat Industrial Development Corporation (2010) 10 SCC 635 , Nadirsha Shapurji Patel v. Collector and LAO (2010) 13 SCC 234 , R. Saragapani v. Special Tahsildar, Karur Dindigul Broadguage Line (2011) 14 SCC 177 and Bharat Heavy Electricals Limited v. R.S. Avtar Singh and Company (2013) 1 SCC 243 , the appellants are entitled to interest on solatium.35.	Reasoning
So far as the appellants plea for award of damages caused on account of removal of fencing of Sant Farm, loss of earning due to damage to crops farming operation and destruction of well existing on the land is concerned, we do not consider it necessary to deal with the same because the issue is being dealt with in C.A. No.1248 of 2007.	Reasoning
In the result, the appeal is allowed, the impugned judgment and the award of the Reference Court are set aside and it is declared that the appellants are entitled to compensation at the rate of Rs.5 per sq.ft.	Decision
with other statutory benefits.	Decision
They shall also be entitled to interest on the element of solatium.37.	Decision
The respondents are directed to pay the amount of enhanced compensation and other statutory benefits including solatium and interest to the appellants within a period of six months from today.	Decision
S. Singhvi, J. Feeling dissatisfied with the meagre enhancement granted by the learned Single Judge of the Madhya Pradesh High Court in the amount of compensation determined by II Additional District Judge, Shivpuri (hereinafter described as, the Reference Court), the appellants have filed this appeal.	Issue
By letter dated 27.12.1988, Collector, Shivpuri proposed the acquisition of 4.421 hectares land for construction of link road near GunaShivpuri Rail Line.	None
However, even before issue of the notification under Section 4(1) of the Land Acquisition Act, 1894 (for short, the Act), possession of the land was taken by the officers of the Central Railway and link road was constructed.	None
On 16.1.1989, the notification issued under Section 4(1) of the Act was published.	None
However, the same was cancelled on account of discrepancies in the area of the land proposed to be acquired.	None
After about four months, the Collector proposed the acquisition of 4.788 hectares land of which possession had already been taken.	None
Thereupon, the Government of Madhya Pradesh issued notification dated 23.5.1991 under Section 4(1), which was published on 27.12.1991 for the acquisition of land measuring 4.788 hectares.	None
The Land Acquisition Officer passed award dated 30.1.1993 whereby he held that the landowners are entitled to compensation of Rs.2,61,351.	Facts
On an application filed by the appellants under Section 18 of the Act, the Collector made reference to the concerned Court for determination of the compensation payable to the appellants.	None
On the pleadings of the parties, the Reference Court framed the following issues Whether compensation determined by the Land Acquisition Officer, Shivpuri, is insufficient and improper and contrary to the provisions of Section 23 of the Land Acquisition Act?2.	Facts
Whether the petitioners are entitled to higher compensation?	Facts
If yes, to what extent?3.	None
Whether the application for reference made by the petitioners is within limitation?4.	None
Relief and costs.	None
In support of their claim, the appellants produced oral and documentary evidence including sale deeds marked Exhibits P3 to P26, the details of which (as given in the written note filed on behalf of the appellants on 27.11.2013) are as under Exhibit No.DateAREA (Sq Ft) Khasra No.TotalRATE(Rs.)	None
P320.03.1989660	None
Kh No. 161/35900/8.94	None
P405.04.1989660	None
Kh No. 161/36600/10.00	None
P513.09.19891386 Kh No. 161/313900/10.03 P620.09.1989330 KhNo.	None
161/33300/10 P726.09.1989792	None
Kh No. 161/18000/10.23 P819.12.1989840?10.12 P919.12.1989840?10.12	None
P1019.03.1991700	None
Kh No. 161/1?13.71 P1104.09.1990150060,000/40.00 P1222.10.19903007500/25.00 P1322.10.199080020,00025.00	None
P1413.02.1991100015,000/15.00 P1519.04.1991100015,000/15.00 P1625.04.1991120018,000/15 P1730.09.19912400 Kh No. 161/136000/15 P1813.11.1991675?30.37 P1916.01.1992700 KhNo.	None
161/214,000/20.00 P20????	None
P2104.08.199297440,000/41.07 P2231.07.19924208400/20.00	None
P2313.10.1992118847,000/40.52 P2421.10.1992127263.68 P2516.11.19924000 Kh No. 161/172000/18	None
P2631.07.1992420?20 The Reference Court discarded most of the sale deeds on the ground that contents thereof have not been proved by examining the buyer and the seller and held that market value of the acquired land is Rs.7 per sq. ft.	None
The Reference Court then made 50 deduction for development of the acquired land, i.e., for construction of roads, drains, sewerage lines, parks, electricity lines, etc., and arranging other amenities and arrived at the figure of Rs.3.50 per sq. ft.	None
The Reference Court made further deduction to the tune of 50 on the ground that the land which was subject matter of sale deeds was very small and held that maximum cost of land cannot be more than Rs.1.75 per sq. ft. and awarded total compensation of Rs.8,87,485.55 to the appellants.	None
The Reference Court also determined separate shares of the appellants.	None
While dealing with the appellants claim for award of compensation in lieu of the damage caused due to removal of fencing of Sant Farm, segregation of land due to laying of rail line and construction of road, loss of earning due to damage of crops farming and destruction of well, the Reference Court did refer to the statement of PW1 Himmat Singh, certified copy of report Exhibit P32 prepared by SubDivisional Officer of the Water Resources Department as also the statement of Gaya Prasad Niranjan (DW1) but, without analyzing the same and without assigning cogent reasons, recorded the following conclusion In the aforesaid circumstances no amount on above counts can be determined on the basis of surmises and conjectures alone.	None
Moreover, it must also be kept in mind that this irrigation arrangement would have otherwise also become abrupt if the lands would have been used for building construction purposes and the buyer would have to make his own arrangements for stopping them.	None
In the circumstances there is no justification for determining any separate compensation on this count.	None
The appellants challenged the judgment of the Reference Court by filing appeal under Section 54 of the Act.	Facts
The learned Single Judge disposed of the appeal along with other appeals filed in relation to the land acquired for construction of Broad Gauge Rail Line and held As regards acquisition of land in the year 1991 is concerned, which is covered by second notification, the rate of land can be held to be Rs.8/ per sq. ft and after deduction I hold that they are entitled to Rs.	None
1.33/ per sq. ft.	None
i.e. after reduction of 50 towards development of roads, drainage etc. and 33.33 towards the expenses for development.	None
Considering this fact, I allow these appeals in part and hold that land which was required in the year 1987, the appellants are entitled to get compensation at the rate of Rs. 1/ per sq. ft and for the land, which was required in the year 1991, they are entitled to Rs.1.33/ per sq. ft.	None
The learned Single Judge of the High Court did not deal with the appellants claim for award of compensation in lieu of the loss caused due to removal of fencing of Sant Farm, segregation of land due to construction of road through the farm land and laying of rail line and loss of earning due to damage to crops and farming potential as also destruction of the well existing on the acquired land.	None
We have heard learned counsel for the parties and carefully perused the record.	None
By a separate judgment passed today in C.A. No.1247 of 2007, this Court has held that for the land acquired vide notification dated 28.5.1987 for construction of Broad Guage Rail Line, the appellants are entitled to compensation at the rate of Rs.5 per sq.ft.	None
with all statutory benefits and interest on solatium.	None
Since the land which is subject matter of this appeal was acquired vide notification dated 27.12.1991 for construction of road from Kolaras Town to the Railway Station, we have no hesitation to hold that the appellants are entitled to the benefit of escalation in land prices.	None
In Ranjit Singh v. UT of Chandigarh (1992) 4 SCC 659 , Land Acquisition Officer v. Ramanjulu (2005) 9 SCC 594 , Krishi Utpadan Mandi Samiti v. Bipin Kumar (2004) 2 SCC 283 , Sardar Jogendra Singh v. State of U.P. (2008) 17 SCC 133, Revenue Divisional OfficercumLAO v. Sk.	None
Azam Saheb (2009) 4 SCC 395 and ONGC Ltd. v. Rameshbhai Jivanbhai Pate (2008) 14 SCC 745 , this Court has repeatedly held that the exercise undertaken for fixing market value and determination of the compensation payable to the landowner should necessarily involve consideration of escalation in land prices.	None
In the last mentioned judgment, the Court noticed the earlier precedents and observed as under We have examined the facts of the three decisions relied on by the respondents.	None
They all related to acquisition of lands in urban or semiurban areas.	None
Ranjit Singh related to acquisition for development of Sector 41 of Chandigarh.	None
Ramanjulu related to acquisition of the third phase of an existing and established industrial estate in an urban area.	None
Bipin Kumar related to an acquisition of lands adjoining BadaunDelhi Highway in a semiurban area where building construction activity was going on all around the acquired lands.13.	None
Primarily, the increase in land prices depends on four factors situation of the land, nature of development in surrounding area, availability of land for development in the area, and the demand for land in the area.	None
In rural areas, unless there is any prospect of development in the vicinity, increase in prices would be slow, steady and gradual, without any sudden spurts or jumps.	None
On the other hand, in urban or semiurban areas, where the development is faster, where the demand for land is high and where there is construction activity all around, the escalation in market price is at a much higher rate, as compared to rural areas.	None
In some pockets in big cities, due to rapid development and high demand for land, the escalations in prices have touched even 30 to 50 or more per year, during the nineties.14.	None
On the other extreme, in remote rural areas where there was no chance of any development and hardly any buyers, the prices stagnated for years or rose marginally at a nominal rate of 1 or 2 per annum.	None
There is thus a significant difference in increases in market value of lands in urban semiurban areas and increases in market value of lands in the rural areas.	None
Therefore, if the increase in market value in urban semiurban areas is about 10 to 15 per annum, the corresponding increases in rural areas would at best be only around half of it, that is, about 5 to 7.5 per annum.	None
This rule of thumb refers to the general trend in the nineties, to be adopted in the absence of clear and specific evidence relating to increase in prices.	None
Where there are special reasons for applying a higher rate of increase, or any specific evidence relating to the actual increase in prices, then the increase to be applied would depend upon the same.15.	None
Normally, recourse is taken to the mode of determining the market value by providing appropriate escalation over the proved market value of nearby lands in previous years (as evidenced by sale transactions or acquisitions), where there is no evidence of any contemporaneous sale transactions or acquisitions of comparable lands in the neighbourhood.	None
The said method is reasonably safe where the reliedon sale transactions acquisitions precede the subject acquisition by only a few years, that is, up to four to five years.	None
Beyond that it may be unsafe, even if it relates to a neighbouring land.	None
What may be a reliable standard if the gap is of only a few years, may become unsafe and unreliable standard where the gap is larger.	None
For example, for determining the market value of a land acquired in 1992, adopting the annual increase method with reference to a sale or acquisition in 1970 or 1980 may have many pitfalls.	None
This is because, over the course of years, the rate of annual increase may itself undergo drastic change apart from the likelihood of occurrence of varying periods of stagnation in prices or sudden spurts in prices affecting the very standard of increase.	None
In view of the propositions laid down in the aforementioned judgments, we hold that the appellants will be entitled to 10 annual escalation in the compensation determined for the acquisition made vide notification dated 28.5.1987, which was published on 12.6.1987.	None
The appellants prayer for award of compensation on account of loss caused due to removal of fencing of Sant Farm, severance of land due to laying of rail line and construction of road, loss caused due to destruction of crop farming activity etc. was rejected by the Reference Court without assigning cogent reasons and the learned Single Judge of the High Court did not even deal with the issue.	None
It is, therefore, apposite that the matter is remitted to the Reference Court for deciding this issue afresh keeping in view the evidence produced by the parties in the references made by the Collector for determination of compensation of the land acquired vide notifications dated 28.5.1987 and 27.12.1991.	None
In the result, the appeal is partly allowed and it is declared that the appellants shall be entitled to compensation at the rate of Rs.5 per sq. ft. with benefit of escalation at the rate of 10 per annum for the period between 28.5.1987 and 27.12.1991.	Decision
The appellants shall also be entitled to get interest on solatium.	None
The respondents are directed to pay the enhanced compensation with interest etc. to the appellants within a period of six months from today.	Decision
The issue relating to award of compensation in lieu of the loss caused due to removal of fencing of Sant Farm, segregation of land on account of laying of rail line and construction of road from Kolaras Town to Railway Station and loss caused due to damage to the crop and farming activity is remitted to the Reference Court for fresh adjudication in the light of the evidence produced by the parties in the references made by the Collector under Section 18 of the Act.	None
